entry_type,meta_layer,issuer,issuer_type,governance_layer,geographic_scope,status,mandate,sector_applicability,standard_id,name_full,name_short,year_published,year_first,domain,sub_domain,sigma_id,why_it_matters,key_outputs,official_url,data_source,notes
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0001,Host Software,RFC 0001,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0001-1969,Core internet protocol standard,RFC 0001,https://www.rfc-editor.org/rfc/rfc0001.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0002,Host software,RFC 0002,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0002-1969,Core internet protocol standard,RFC 0002,https://www.rfc-editor.org/rfc/rfc0002.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0003,Documentation conventions,RFC 0003,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0003-1969,Core internet protocol standard,RFC 0003,https://www.rfc-editor.org/rfc/rfc0003.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0004,Network timetable,RFC 0004,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0004-1969,Core internet protocol standard,RFC 0004,https://www.rfc-editor.org/rfc/rfc0004.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0005,Decode Encode Language (DEL),RFC 0005,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0005-1969,Core internet protocol standard,RFC 0005,https://www.rfc-editor.org/rfc/rfc0005.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0006,Conversation with Bob Kahn,RFC 0006,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0006-1969,Core internet protocol standard,RFC 0006,https://www.rfc-editor.org/rfc/rfc0006.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0007,Host-IMP interface,RFC 0007,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0007-1969,Core internet protocol standard,RFC 0007,https://www.rfc-editor.org/rfc/rfc0007.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0008,ARPA Network Functional Specifications,RFC 0008,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0008-1969,Core internet protocol standard,RFC 0008,https://www.rfc-editor.org/rfc/rfc0008.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0009,Host Software,RFC 0009,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0009-1969,Core internet protocol standard,RFC 0009,https://www.rfc-editor.org/rfc/rfc0009.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0010,Documentation conventions,RFC 0010,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0010-1969,Core internet protocol standard,RFC 0010,https://www.rfc-editor.org/rfc/rfc0010.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0011,Implementation of the Host - Host Software Procedures in GORDO,RFC 0011,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0011-1969,Core internet protocol standard,RFC 0011,https://www.rfc-editor.org/rfc/rfc0011.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0012,IMP-Host interface flow diagrams,RFC 0012,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0012-1969,Core internet protocol standard,RFC 0012,https://www.rfc-editor.org/rfc/rfc0012.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0013,Zero Text Length EOF Message,RFC 0013,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0013-1969,Core internet protocol standard,RFC 0013,https://www.rfc-editor.org/rfc/rfc0013.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0015,Network subsystem for time sharing hosts,RFC 0015,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0015-1969,Core internet protocol standard,RFC 0015,https://www.rfc-editor.org/rfc/rfc0015.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0016,M.I.T,RFC 0016,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0016-1969,Core internet protocol standard,RFC 0016,https://www.rfc-editor.org/rfc/rfc0016.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0017,Some questions re: Host-IMP Protocol,RFC 0017,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0017-1969,Core internet protocol standard,RFC 0017,https://www.rfc-editor.org/rfc/rfc0017.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0018,IMP-IMP and HOST-HOST Control Links,RFC 0018,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0018-1969,Core internet protocol standard,RFC 0018,https://www.rfc-editor.org/rfc/rfc0018.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0019,Two protocol suggestions to reduce congestion at swap bound nodes,RFC 0019,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0019-1969,Core internet protocol standard,RFC 0019,https://www.rfc-editor.org/rfc/rfc0019.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0020,ASCII format for network interchange,RFC 0020,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0020-1969,Core internet protocol standard,RFC 0020,https://www.rfc-editor.org/rfc/rfc0020.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0021,Network meeting,RFC 0021,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0021-1969,Core internet protocol standard,RFC 0021,https://www.rfc-editor.org/rfc/rfc0021.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0022,Host-host control message formats,RFC 0022,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0022-1969,Core internet protocol standard,RFC 0022,https://www.rfc-editor.org/rfc/rfc0022.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0023,Transmission of Multiple Control Messages,RFC 0023,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0023-1969,Core internet protocol standard,RFC 0023,https://www.rfc-editor.org/rfc/rfc0023.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0024,Documentation Conventions,RFC 0024,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0024-1969,Core internet protocol standard,RFC 0024,https://www.rfc-editor.org/rfc/rfc0024.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0025,No High Link Numbers,RFC 0025,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0025-1969,Core internet protocol standard,RFC 0025,https://www.rfc-editor.org/rfc/rfc0025.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0027,Documentation Conventions,RFC 0027,1969,1969,Information Technology,Internet Standards,DG-IETF-RFC0027-1969,Core internet protocol standard,RFC 0027,https://www.rfc-editor.org/rfc/rfc0027.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0028,Time Standards,RFC 0028,1970,1970,Information Technology,Internet Standards,DG-IETF-RFC0028-1970,Core internet protocol standard,RFC 0028,https://www.rfc-editor.org/rfc/rfc0028.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0029,Response to RFC 28,RFC 0029,1970,1970,Information Technology,Internet Standards,DG-IETF-RFC0029-1970,Core internet protocol standard,RFC 0029,https://www.rfc-editor.org/rfc/rfc0029.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0030,Documentation Conventions,RFC 0030,1970,1970,Information Technology,Internet Standards,DG-IETF-RFC0030-1970,Core internet protocol standard,RFC 0030,https://www.rfc-editor.org/rfc/rfc0030.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0031,Binary Message Forms in Computer,RFC 0031,1968,1968,Information Technology,Internet Standards,DG-IETF-RFC0031-1968,Core internet protocol standard,RFC 0031,https://www.rfc-editor.org/rfc/rfc0031.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0032,Some Thoughts on SRI's Proposed Real Time Clock,RFC 0032,1970,1970,Information Technology,Internet Standards,DG-IETF-RFC0032-1970,Core internet protocol standard,RFC 0032,https://www.rfc-editor.org/rfc/rfc0032.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0033,New Host-Host Protocol,RFC 0033,1970,1970,Information Technology,Internet Standards,DG-IETF-RFC0033-1970,Core internet protocol standard,RFC 0033,https://www.rfc-editor.org/rfc/rfc0033.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0034,Some Brief Preliminary Notes on the Augmentation Research Center Clock,RFC 0034,1970,1970,Information Technology,Internet Standards,DG-IETF-RFC0034-1970,Core internet protocol standard,RFC 0034,https://www.rfc-editor.org/rfc/rfc0034.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0035,Network Meeting,RFC 0035,1970,1970,Information Technology,Internet Standards,DG-IETF-RFC0035-1970,Core internet protocol standard,RFC 0035,https://www.rfc-editor.org/rfc/rfc0035.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0036,Protocol Notes,RFC 0036,1970,1970,Information Technology,Internet Standards,DG-IETF-RFC0036-1970,Core internet protocol standard,RFC 0036,https://www.rfc-editor.org/rfc/rfc0036.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0037,"Network Meeting Epilogue, etc",RFC 0037,1970,1970,Information Technology,Internet Standards,DG-IETF-RFC0037-1970,Core internet protocol standard,RFC 0037,https://www.rfc-editor.org/rfc/rfc0037.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0038,Comments on Network Protocol from NWG/RFC #36,RFC 0038,1970,1970,Information Technology,Internet Standards,DG-IETF-RFC0038-1970,Core internet protocol standard,RFC 0038,https://www.rfc-editor.org/rfc/rfc0038.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0039,Comments on Protocol Re: NWG/RFC #36,RFC 0039,1970,1970,Information Technology,Internet Standards,DG-IETF-RFC0039-1970,Core internet protocol standard,RFC 0039,https://www.rfc-editor.org/rfc/rfc0039.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0040,More Comments on the Forthcoming Protocol,RFC 0040,1970,1970,Information Technology,Internet Standards,DG-IETF-RFC0040-1970,Core internet protocol standard,RFC 0040,https://www.rfc-editor.org/rfc/rfc0040.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0041,IMP-IMP Teletype Communication,RFC 0041,1970,1970,Information Technology,Internet Standards,DG-IETF-RFC0041-1970,Core internet protocol standard,RFC 0041,https://www.rfc-editor.org/rfc/rfc0041.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0042,Message Data Types,RFC 0042,1970,1970,Information Technology,Internet Standards,DG-IETF-RFC0042-1970,Core internet protocol standard,RFC 0042,https://www.rfc-editor.org/rfc/rfc0042.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0043,Proposed Meeting,RFC 0043,1970,1970,Information Technology,Internet Standards,DG-IETF-RFC0043-1970,Core internet protocol standard,RFC 0043,https://www.rfc-editor.org/rfc/rfc0043.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0044,Comments on NWG/RFC 33 and 36,RFC 0044,1970,1970,Information Technology,Internet Standards,DG-IETF-RFC0044-1970,Core internet protocol standard,RFC 0044,https://www.rfc-editor.org/rfc/rfc0044.html,IETF RFC Editor,
Standard,L5 Technology & Infrastructure,IETF,Industry SDO,International,Global,Superseded,Voluntary,Internet and networking technologies,RFC 0045,New Protocol is Coming,RFC 0045,1970,1970,Information Technology,Internet Standards,DG-IETF-RFC0045-1970,Core internet protocol standard,RFC 0045,https://www.rfc-editor.org/rfc/rfc0045.html,IETF RFC Editor,
