entry_type,meta_layer,issuer,issuer_type,governance_layer,geographic_scope,status,mandate,sector_applicability,standard_id,name_full,name_short,year_published,year_first,domain,sub_domain,sigma_id,why_it_matters,key_outputs,official_url,data_source,notes
Standard,"L3 Society, Governance & Law",ILO,UN Agency,International,Global,Active,Voluntary,Labour and employment,C029,"Forced Labour Convention, 1930",C029,1930,1930,Labour & Employment,Conventions,LS-ILO-C029-1930,International labour standard setting minimum conditions for workers worldwide,C029,https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_INSTRUMENT_ID:029,ILO NORMLEX,ILO Convention adopted in 1930
Standard,"L3 Society, Governance & Law",ILO,UN Agency,International,Global,Active,Voluntary,Labour and employment,C087,"Freedom of Association and Protection of the Right to Organise Convention, 1948",C087,1948,1948,Labour & Employment,Conventions,LS-ILO-C087-1948,International labour standard setting minimum conditions for workers worldwide,C087,https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_INSTRUMENT_ID:087,ILO NORMLEX,ILO Convention adopted in 1948
Standard,"L3 Society, Governance & Law",ILO,UN Agency,International,Global,Active,Voluntary,Labour and employment,C098,"Right to Organise and Collective Bargaining Convention, 1949",C098,1949,1949,Labour & Employment,Conventions,LS-ILO-C098-1949,International labour standard setting minimum conditions for workers worldwide,C098,https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_INSTRUMENT_ID:098,ILO NORMLEX,ILO Convention adopted in 1949
Standard,"L3 Society, Governance & Law",ILO,UN Agency,International,Global,Active,Voluntary,Labour and employment,C100,"Equal Remuneration Convention, 1951",C100,1951,1951,Labour & Employment,Conventions,LS-ILO-C100-1951,International labour standard setting minimum conditions for workers worldwide,C100,https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_INSTRUMENT_ID:100,ILO NORMLEX,ILO Convention adopted in 1951
Standard,"L3 Society, Governance & Law",ILO,UN Agency,International,Global,Active,Voluntary,Labour and employment,C105,"Abolition of Forced Labour Convention, 1957",C105,1957,1957,Labour & Employment,Conventions,LS-ILO-C105-1957,International labour standard setting minimum conditions for workers worldwide,C105,https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_INSTRUMENT_ID:105,ILO NORMLEX,ILO Convention adopted in 1957
Standard,"L3 Society, Governance & Law",ILO,UN Agency,International,Global,Active,Voluntary,Labour and employment,C111,"Discrimination (Employment and Occupation) Convention, 1958",C111,1958,1958,Labour & Employment,Conventions,LS-ILO-C111-1958,International labour standard setting minimum conditions for workers worldwide,C111,https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_INSTRUMENT_ID:111,ILO NORMLEX,ILO Convention adopted in 1958
Standard,"L3 Society, Governance & Law",ILO,UN Agency,International,Global,Active,Voluntary,Labour and employment,C138,"Minimum Age Convention, 1973",C138,1973,1973,Labour & Employment,Conventions,LS-ILO-C138-1973,International labour standard setting minimum conditions for workers worldwide,C138,https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_INSTRUMENT_ID:138,ILO NORMLEX,ILO Convention adopted in 1973
Standard,"L3 Society, Governance & Law",ILO,UN Agency,International,Global,Active,Voluntary,Labour and employment,C182,"Worst Forms of Child Labour Convention, 1999",C182,1999,1999,Labour & Employment,Conventions,LS-ILO-C182-1999,International labour standard setting minimum conditions for workers worldwide,C182,https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_INSTRUMENT_ID:182,ILO NORMLEX,ILO Convention adopted in 1999
Standard,"L3 Society, Governance & Law",ILO,UN Agency,International,Global,Active,Voluntary,Labour and employment,C081,"Labour Inspection Convention, 1947",C081,1947,1947,Labour & Employment,Conventions,LS-ILO-C081-1947,International labour standard setting minimum conditions for workers worldwide,C081,https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_INSTRUMENT_ID:081,ILO NORMLEX,ILO Convention adopted in 1947
Standard,"L3 Society, Governance & Law",ILO,UN Agency,International,Global,Active,Voluntary,Labour and employment,C122,"Employment Policy Convention, 1964",C122,1964,1964,Labour & Employment,Conventions,LS-ILO-C122-1964,International labour standard setting minimum conditions for workers worldwide,C122,https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_INSTRUMENT_ID:122,ILO NORMLEX,ILO Convention adopted in 1964
