sigma_id,entry_type,meta_layer,domain,sub_domain,name_full,name_short,standard_id,issuer,issuer_type,governance_layer,geographic_scope,year_published,year_first,status,mandate,sector_applicability,why_it_matters,key_outputs,official_url,data_source,notes
TC-ITU-X500-2023,Standard,L3 Digital Infrastructure,Telecommunications,ITU Recommendations,"ITU-T Recommendation X.500: Data networks, open system communications and security",ITU-T X.500,X.500,ITU-T (International Telecommunication Union - Telecommunication Standardization Sector),ITU,International,Global,2023,2023,Active,Voluntary,"Telecommunications, networking, digital infrastructure",ITU-T Recommendations establish technical standards for global telecommunications interoperability.,Technical Recommendation,https://www.itu.int/rec/T-REC-X.500/en,ITU-T Recommendations database (live harvest),"ITU-T Series X: Data networks, open system communications and security"
TC-ITU-X509-2023,Standard,L3 Digital Infrastructure,Telecommunications,ITU Recommendations,"ITU-T Recommendation X.509: Data networks, open system communications and security",ITU-T X.509,X.509,ITU-T (International Telecommunication Union - Telecommunication Standardization Sector),ITU,International,Global,2023,2023,Active,Voluntary,"Telecommunications, networking, digital infrastructure",ITU-T Recommendations establish technical standards for global telecommunications interoperability.,Technical Recommendation,https://www.itu.int/rec/T-REC-X.509/en,ITU-T Recommendations database (live harvest),"ITU-T Series X: Data networks, open system communications and security"
TC-ITU-X690-2023,Standard,L3 Digital Infrastructure,Telecommunications,ITU Recommendations,"ITU-T Recommendation X.690: Data networks, open system communications and security",ITU-T X.690,X.690,ITU-T (International Telecommunication Union - Telecommunication Standardization Sector),ITU,International,Global,2023,2023,Active,Voluntary,"Telecommunications, networking, digital infrastructure",ITU-T Recommendations establish technical standards for global telecommunications interoperability.,Technical Recommendation,https://www.itu.int/rec/T-REC-X.690/en,ITU-T Recommendations database (live harvest),"ITU-T Series X: Data networks, open system communications and security"
TC-ITU-Y1541-2023,Standard,L3 Digital Infrastructure,Telecommunications,ITU Recommendations,"ITU-T Recommendation Y.1541: Global information infrastructure, internet protocol aspects and next-generation networks",ITU-T Y.1541,Y.1541,ITU-T (International Telecommunication Union - Telecommunication Standardization Sector),ITU,International,Global,2023,2023,Active,Voluntary,"Telecommunications, networking, digital infrastructure",ITU-T Recommendations establish technical standards for global telecommunications interoperability.,Technical Recommendation,https://www.itu.int/rec/T-REC-Y.1541/en,ITU-T Recommendations database (live harvest),"ITU-T Series Y: Global information infrastructure, internet protocol aspects and next-generation networks"
TC-ITU-Y1564-2023,Standard,L3 Digital Infrastructure,Telecommunications,ITU Recommendations,"ITU-T Recommendation Y.1564: Global information infrastructure, internet protocol aspects and next-generation networks",ITU-T Y.1564,Y.1564,ITU-T (International Telecommunication Union - Telecommunication Standardization Sector),ITU,International,Global,2023,2023,Active,Voluntary,"Telecommunications, networking, digital infrastructure",ITU-T Recommendations establish technical standards for global telecommunications interoperability.,Technical Recommendation,https://www.itu.int/rec/T-REC-Y.1564/en,ITU-T Recommendations database (live harvest),"ITU-T Series Y: Global information infrastructure, internet protocol aspects and next-generation networks"
TC-ITU-Z100-2023,Standard,L3 Digital Infrastructure,Telecommunications,ITU Recommendations,ITU-T Recommendation Z.100: Languages and general software aspects for telecommunication systems,ITU-T Z.100,Z.100,ITU-T (International Telecommunication Union - Telecommunication Standardization Sector),ITU,International,Global,2023,2023,Active,Voluntary,"Telecommunications, networking, digital infrastructure",ITU-T Recommendations establish technical standards for global telecommunications interoperability.,Technical Recommendation,https://www.itu.int/rec/T-REC-Z.100/en,ITU-T Recommendations database (live harvest),ITU-T Series Z: Languages and general software aspects for telecommunication systems
TC-ITU-Z120-2023,Standard,L3 Digital Infrastructure,Telecommunications,ITU Recommendations,ITU-T Recommendation Z.120: Languages and general software aspects for telecommunication systems,ITU-T Z.120,Z.120,ITU-T (International Telecommunication Union - Telecommunication Standardization Sector),ITU,International,Global,2023,2023,Active,Voluntary,"Telecommunications, networking, digital infrastructure",ITU-T Recommendations establish technical standards for global telecommunications interoperability.,Technical Recommendation,https://www.itu.int/rec/T-REC-Z.120/en,ITU-T Recommendations database (live harvest),ITU-T Series Z: Languages and general software aspects for telecommunication systems
TC-ITU-H264-2023,Standard,L3 Digital Infrastructure,Telecommunications,ITU Recommendations,ITU-T Recommendation H.264: Audiovisual and multimedia systems,ITU-T H.264,H.264,ITU-T (International Telecommunication Union - Telecommunication Standardization Sector),ITU,International,Global,2023,2023,Active,Voluntary,"Telecommunications, networking, digital infrastructure",ITU-T Recommendations establish technical standards for global telecommunications interoperability.,Technical Recommendation,https://www.itu.int/rec/T-REC-H.264/en,ITU-T Recommendations database (live harvest),ITU-T Series H: Audiovisual and multimedia systems
TC-ITU-H265-2023,Standard,L3 Digital Infrastructure,Telecommunications,ITU Recommendations,ITU-T Recommendation H.265: Audiovisual and multimedia systems,ITU-T H.265,H.265,ITU-T (International Telecommunication Union - Telecommunication Standardization Sector),ITU,International,Global,2023,2023,Active,Voluntary,"Telecommunications, networking, digital infrastructure",ITU-T Recommendations establish technical standards for global telecommunications interoperability.,Technical Recommendation,https://www.itu.int/rec/T-REC-H.265/en,ITU-T Recommendations database (live harvest),ITU-T Series H: Audiovisual and multimedia systems
TC-ITU-H323-2023,Standard,L3 Digital Infrastructure,Telecommunications,ITU Recommendations,ITU-T Recommendation H.323: Audiovisual and multimedia systems,ITU-T H.323,H.323,ITU-T (International Telecommunication Union - Telecommunication Standardization Sector),ITU,International,Global,2023,2023,Active,Voluntary,"Telecommunications, networking, digital infrastructure",ITU-T Recommendations establish technical standards for global telecommunications interoperability.,Technical Recommendation,https://www.itu.int/rec/T-REC-H.323/en,ITU-T Recommendations database (live harvest),ITU-T Series H: Audiovisual and multimedia systems
