identifier,parent,titleEn,titleFr,scopeEn,scopeFr
"01",,"Generalities. Terminology. Standardization. Documentation","Généralités. Terminologie. Normalisation. Documentation",,
"03",,"Services. Company organization, management and quality. Administration. Transport. Sociology","Services. Organisation de l'entreprise. Gestion et qualité. Administration. Transport. Sociologie",,
"07",,"Natural and applied sciences","Sciences naturelles et sciences appliquées",,
"11",,"Health care technology","Technologies de la santé",,
"13",,"Environment. Health protection. Safety","Environnement. Protection de la santé. Sécurité",,
"17",,"Metrology and measurement. Physical phenomena","Métrologie et mesurage. Phénomènes physiques",,
"19",,"Testing","Essais",,
"21",,"Mechanical systems and components for general use","Systèmes et composants mécaniques à usage général",,
"23",,"Fluid systems and components for general use","Fluidique et composants à usage général",,
"25",,"Manufacturing engineering","Techniques de fabrication",,
"27",,"Energy and heat transfer engineering","Ingénierie de l'énergie et de la transmission de la chaleur",,
"29",,"Electrical engineering","Électrotechnique",,
"31",,"Electronics","Électronique",,
"33",,"Telecommunications. Audio and video engineering","Télécommunications. Technique audio et vidéo",,
"35",,"Information technology","Technologies de l'information",,
"37",,"Image technology","Technologie de l'image",,
"39",,"Precision mechanics. Jewellery","Mécanique de précision. Bijouterie",,
"43",,"Road vehicles engineering","Véhicules routiers",,
"45",,"Railway engineering","Chemins de fer",,
"47",,"Shipbuilding and marine structures","Construction navale et structures maritimes",,
"49",,"Aircraft and space vehicle engineering","Aéronautique et espace",,
"53",,"Materials handling equipment","Matériel de manutention des matériaux",,
"55",,"Packaging and distribution of goods","Emballage et distribution des marchandises",,
"59",,"Textile and leather technology","Industrie textile et technologie du cuir",,
"61",,"Clothing industry","Industrie du vêtement",,
"65",,"Agriculture","Agriculture",,
"67",,"Food technology","Technologie alimentaire",,
"71",,"Chemical technology","Génie chimique",,
"73",,"Mining and minerals","Mines et minerais",,
"75",,"Petroleum and related technologies","Industrie du pétrole et technologies associées",,
"77",,"Metallurgy","Métallurgie",,
"79",,"Wood technology","Technologie du bois",,
"81",,"Glass and ceramics industries","Industries du verre et de la céramique",,
"83",,"Rubber and plastic industries","Industrie des élastomères et des plastiques",,
"85",,"Paper technology","Technologie du papier",,
"87",,"Paint and colour industries","Industries des peintures et des couleurs",,
"91",,"Construction materials and building","Bâtiment et matériaux de construction",,
"93",,"Civil engineering","Génie civil",,
"95",,"Military affairs. Military engineering. Weapons","Affaires militaires. Génie militaire. Systèmes d'armes",,
"97",,"Domestic and commercial equipment. Entertainment. Sports","Équipement ménager et commercial. Loisirs. Sports",,
"01.020","01","Terminology (principles and coordination)","Terminologie (principes et coordination)","Including terminography","Y compris terminographie"
"01.040","01","Vocabularies","Vocabulaires",,
"01.060","01","Quantities and units","Grandeurs et unités",,
"01.070","01","Colour coding","Codification par couleurs",,
"01.075","01","Character symbols","Symboles littéraux",,
"01.080","01","Graphical symbols","Symboles graphiques",,
"01.100","01","Technical drawings","Dessins techniques",,
"01.110","01","Technical product documentation","Documentation technique des produits","Including rules for preparation of user guides, manuals, product specifications, etc.","Y compris les règles pour la préparation des guides d'utilisateurs, manuels, spécifications techniques des produits, etc."
"01.120","01","Standardization. General rules","Normalisation. Règles générales","Including rules for the preparation of standards catalogues and management of technical documents","Y compris les règles pour la préparation des catalogues de normes et la gestion des documents techniques"
"01.140","01","Information sciences. Publishing","Sciences de l'information. Édition",,
"03.020","03","Sociology. Demography","Sociologie. Démographie",,
"03.040","03","Labour. Employment","Travail. Emploi",,
"03.060","03","Finances. Banking. Monetary systems. Insurance","Finances. Banque. Systèmes monétaires. Assurance","Including personal financial planning","Y compris la gestion de patrimoine"
"03.080","03","Services","Services",,
"03.100","03","Company organization and management. Management systems","Organisation et gestion d'entreprise. Systèmes de management",,
"03.120","03","Quality","Qualité",,
"03.140","03","Patents. Intellectual property","Brevets. Propriété intellectuelle",,
"03.160","03","Law. Administration","Législation. Administration","Including flags and associated symbols (emblems) of political and administrative entities, military flags, flags of organizations, etc.","Y compris les drapeaux et symboles associés (emblèmes) des entités politiques et administratives. Drapeaux militaires, drapeaux d'organisations, etc."
"03.180","03","Education","Éducation",,
"03.200","03","Leisure. Tourism","Loisirs. Tourisme",,
"03.220","03","Transport","Transport",,
"03.240","03","Postal services","Services postaux","Including postal equipment, post-boxes and letter-boxes, etc.","Y compris matériel postal, boîtes postales, boîtes à lettres, etc."
"07.020","07","Mathematics","Mathématiques",,
"07.030","07","Physics. Chemistry","Physique. Chimie",,
"07.040","07","Astronomy. Geodesy. Geography","Astronomie. Géodésie. Géographie",,
"07.060","07","Geology. Meteorology. Hydrology","Géologie. Météorologie. Hydrologie",,
"07.080","07","Biology. Botany. Zoology","Biologie. Botanique. Zoologie","Including biotechnology","Y compris biotechnologie"
"07.100","07","Microbiology","Microbiologie",,
"07.120","07","Nanotechnologies","Nanotechnologies",,
"07.140","07","Forensic science","Criminalistique",,
"11.020","11","Medical sciences and health care facilities in general","Sciences médicales et équipement de soins médicaux en général",,
"11.040","11","Medical equipment","Matériel médical",,
"11.060","11","Dentistry","Art dentaire",,
"11.080","11","Sterilization and disinfection","Stérilisation et désinfection",,
"11.100","11","Laboratory medicine","Médecine de laboratoire",,
"11.120","11","Pharmaceutics","Pharmacie",,
"11.140","11","Hospital equipment","Équipements des hôpitaux","Including hospital beds, surgical tables, medical garments, medical gloves, containers for sharp disposal, etc.","Y compris lits d'hôpitaux, tables d'opération, vêtements médicaux, gants médicaux, récipients pour déchets pointus d'activités de soin, etc."
"11.160","11","First aid","Premiers secours","Including kits, equipment, facilities and medical transport for first aid","Y compris trousse, matériel, installations et transport médical de première urgence"
"11.180","11","Aids for disabled or handicapped persons","Aides pour les invalides ou handicapés","Including aids for elderly people","Y compris aides aux personnes âgées"
"11.200","11","Birth control. Mechanical contraceptives","Contrôle des naissances. Contraceptifs mécaniques",,
"11.220","11","Veterinary medicine","Médecine vétérinaire","Including equipment specific to veterinary medicine","Y compris matériel spécifique à la médecine vétérinaire"
"13.020","13","Environmental protection","Protection de l'environnement",,
"13.030","13","Wastes","Déchets",,
"13.040","13","Air quality","Qualité de l'air",,
"13.060","13","Water quality","Qualité de l'eau","Including toxicity, biodegradability, protection against pollution, related installations and equipment","Y compris toxicité, biodégradabilité, prévention de la pollution, installations et équipements connexes"
"13.080","13","Soil quality. Pedology","Qualité du sol. Pédologie",,
"13.100","13","Occupational safety. Industrial hygiene","Sécurité professionnelle. Hygiène industrielle",,
"13.110","13","Safety of machinery","Sécurité des machines et appareils",,
"13.120","13","Domestic safety","Sécurité domestique",,
"13.140","13","Noise with respect to human beings","Bruit et ses effets sur l'homme","Including audiometry","Y compris audiométrie"
"13.160","13","Vibration and shock with respect to human beings","Vibrations, chocs et leurs effets sur l'homme",,
"13.180","13","Ergonomics","Ergonomie",,
"13.200","13","Accident and disaster control","Prévention des accidents et des catastrophes","Including emergency evacuations and emergency control systems","Y compris évacuations d'urgence et systèmes de commande d'urgence"
"13.220","13","Protection against fire","Protection contre l'incendie",,
"13.230","13","Explosion protection","Protection contre l'explosion",,
"13.240","13","Protection against excessive pressure","Protection contre les excès de pression","Including safety valves, bursting disc devices, etc.","Y compris soupapes de sécurité, disques de rupture, etc."
"13.260","13","Protection against electric shock. Live working","Protection contre l'électrocution. Travaux sous tension","Including tools for working with voltages","Y compris outils pour travaux sous tension"
"13.280","13","Radiation protection","Protection contre les rayonnements","Including protection against radio-frequency radiation","Y compris protection contre les rayonnements radioélectriques"
"13.300","13","Protection against dangerous goods","Protection contre les matières dangereuses","Including performance requirements for dangerous goods, their handling, storage, transportation, marking, labelling, etc.","Y compris exigences de performances pour les matières dangereuses, leur manutention, leur stockage, leur transport, leur marquage, leur étiquetage, etc."
"13.310","13","Protection against crime","Protection contre les crimes","Including security services, security procedures, burglar alarm devices, burglary resisting materials and equipment, bullet resisting materials and equipment, anti-theft devices for vehicles, safes, strong rooms, etc.","Y compris services de sécurité, procédures de sécurité, dispositifs d'alarme, matériaux et équipements résistant au cambriolage, matériaux et équipements résistant aux balles, dispositifs antivol pour véhicules, coffres-forts, chambres fortes, etc."
"13.320","13","Alarm and warning systems","Systèmes d'alarme et d'alerte",,
"13.340","13","Protective equipment","Équipement de protection individuelle",,
"17.020","17","Metrology and measurement in general","Métrologie et mesurage en général","Including measuring instruments in general, preferred numbers, standard measures, general aspects of reference materials, etc.","Y compris instruments de mesure en général, nombres normaux, étalons de mesure, aspects généraux des matériaux de référence, etc."
"17.040","17","Linear and angular measurements","Mesurage de longueur et mesurage angulaire",,
"17.060","17","Measurement of volume, mass, density, viscosity","Mesurage de volume, masse, densité, viscosité","Including measuring instruments","Y compris instruments de mesure correspondants"
"17.080","17","Measurement of time, velocity, acceleration, angular velocity","Mesurage de temps, vitesse, accélération, vitesse angulaire","Including measuring instruments","Y compris instruments de mesure correspondants"
"17.100","17","Measurement of force, weight and pressure","Mesurage de force, poids et pression","Including measuring and weighing instruments","Y compris instruments de mesure correspondants"
"17.120","17","Measurement of fluid flow","Mesurage de débit des fluides","Including measuring instruments and installations","Y compris instruments et installations de mesure correspondants"
