id,reference,status,title.en,title.fr,secretariat.id,secretariat.acronym,creationDate,scope.en,scope.fr,parentId,childrenId,pMembers.id,pMembers.acronym,oMembers.id,oMembers.acronym,committeeLiaisons.id,committeeLiaisons.reference,organizationLiaisons.id,organizationLiaisons.acronym,sortKey
10320021,IEC/ISO JSyC BDC,Active,IEC/ISO Joint Systems Committee on Bio-digital convergence (IEC/ISO JSyC BDC),Convergence bionumérique,1619,SCC,2024-04-16,"<strong>              ISO/IEC JSyC BDC is being supported administratively by IEC.  All information related to ISO/IEC JSyC BDC is available on the <a href='https://www.iec.ch/dyn/www/f?p=103:186:::::FSP_ORG_ID:49793'>IEC web site</a></strong>Systems level standardization activities in the domain of bio-digital convergence for the IEC and ISO, including ISO/IEC JTC 1 and IEC/ISO JTC 3.<ol><li>Facilitate outreach and engagement for the work on bio-digital convergence with ISO, other SDOs, and industry consortia, in collaboration with relevant IEC and ISO entities and thus facilitate the advancement and coordination of bio-digital convergence standardization.<li>Collection, evaluation, and classification of existing standards that are relevant in the field of BDC. Identification of gaps.<li>Identify and assess potential forthcoming new bio-digital convergence topics and problematics that may become relevant to IEC and ISO activities and recommend to the IEC/SMB and the ISO/TMB anappropriate course of action to meet the needs of the global community.",<strong>              L'ISO/IEC JSyC BDC est supporté administrativement par IEC.  Toutes les informations relatives à l'ISO/IEC JSyC BDC sont disponibles sur <a href='https://www.iec.ch/dyn/www/f?p=103:186:::::FSP_ORG_ID:49793'>IEC web site</a></strong>,,,[1619],[SCC],,,[54960],[ISO/TC 215],,,IEC/ISO JSyC BDC
10138914,IEC/ISO JTC 3,Active,Quantum technologies,Technologies quantiques,2064,BSI,2024-01-10,"<strong>              IEC/ISO JTC 3 is being supported administratively by IEC.  All information related to IEC/ISO JTC 3 is available on the <a href='https://www.iec.ch/dyn/www/f?p=103:7:::::FSP_ORG_ID:49854' target='_blank'>IEC web site</a></strong><p>Standardization in the field of quantum technologies.</p><p>The scope includes standardization in the field of quantum technologies, including quantuminformation technologies (quantum computing and quantum simulation), quantum metrology,quantum sources, quantum detectors, quantum communications, and fundamental quantumtechnologies. The JTC will coordinate the results of these efforts with relevant committeesand subcommittees that have within their scopes the development of specific sector-basedapplications of quantum technologies.</p><p>Excluded: Specific sector-based applications and standardization in the fields of informationtechnology (JTC 1 and its subcommittees), nanotechnology (IEC TC 113 and ISO TC 229),fibre optics (IEC TC 86), cryogenic vessels (ISO TC 220), and semiconductors (IEC TC 47).</p>","<strong>              IEC/ISO JTC 3 is being supported administratively by IEC.  All information related to IEC/ISO JTC 3 is available on the <a href='https://www.iec.ch/dyn/www/f?p=103:7:::::FSP_ORG_ID:49854' target='_blank'>IEC web site</a></strong><p>Standardization in the field of quantum technologies.</p><p>The scope includes standardization in the field of quantum technologies, including quantuminformation technologies (quantum computing and quantum simulation), quantum metrology,quantum sources, quantum detectors, quantum communications, and fundamental quantumtechnologies. The JTC will coordinate the results of these efforts with relevant committeesand subcommittees that have within their scopes the development of specific sector-basedapplications of quantum technologies.</p><p>Excluded: Specific sector-based applications and standardization in the fields of informationtechnology (JTC 1 and its subcommittees), nanotechnology (IEC TC 113 and ISO TC 229),fibre optics (IEC TC 86), cryogenic vessels (ISO TC 220), and semiconductors (IEC TC 47).</p>",,,[2064],[BSI],,,"[45202, 54618, 45086, 45020, 381983, 53686, 55106, 45306]","[ISO/IEC JTC 1/SC 22, ISO/TC 201, ISO/IEC JTC 1/SC 7, ISO/IEC JTC 1, ISO/TC 229, ISO/TC 172, null, ISO/IEC JTC 1/SC 27]","[9006, 9657]","[ETSI, ITU]",IEC/ISO JTC 003
45020,ISO/IEC JTC 1,Active,Information technology,Technologies de l'information,2188,ANSI,1987-01-01,Standardization in the field of information technology.,Normalisation dans le domaine des technologies de l'information.,,"[45202,45240,45382,9082407,45270,5013818,45314,654019,45252,45332,45374,45144,45086,45316,45050,45392,45306,601355,45342,313770,6483279,10778243,45072,6794475]","[1485, 1511, 1516, 1524, 1529, 1555, 1561, 1575, 1579, 1619, 1635, 1663, 1674, 1690, 1696, 1704, 1711, 1717, 1734, 1738, 1747, 1776, 1794, 1798, 1803, 1815, 1819, 1823, 1835, 1848, 1873, 1911, 1927, 1982, 1994, 2027, 2064, 2074, 2101, 2106, 2149, 2172, 2176, 2188, 2215, 269997, 288025, 308829, 308878, 10958955]","[SABS, DIN, SASO, SA, ASI, BELST, NBN, INDOCAL, ABNT, SCC, SAC, KATS, CODINORM, AZSTAND, DS, MoIAT-SAS, INEN, UNE, SFS, AFNOR, GSA, ILNAS, BIS, BSN, INSO, NSAI, SII, UNI, JISC, CTRM, LIBNOR, DSM, MCCAA, SON, SN, NEN, BSI, SSC, SIS, SNV, TTBS, SE UkrNDNC, GOST R, ANSI, ZABS, ABNORM, RSB, SAZ, O'ZTTSA, SENCAMER]","[1489, 1499, 1520, 1591, 1597, 1603, 1623, 1629, 1640, 1644, 1657, 1667, 1680, 1684, 1700, 1721, 1725, 1759, 1770, 1784, 1788, 1844, 1854, 1890, 1897, 1931, 1938, 1944, 1954, 1965, 1998, 2017, 2036, 2041, 2045, 2054, 2058, 2091, 2110, 2120, 2133, 2139, 2154, 2158, 2168, 2182, 2199, 2209, 258872, 299538, 304927, 308796, 308866, 308894, 547395, 548909, 576513, 6201376]","[ARMSTANDARD, IANOR, IRAM, BBN, BDS, ISBIH, ANOR, INN, CYS, ICONTEC, CSK, INTECO, HZN, NC, EOS, EVS, IES, ELOT, ITCHKSAR, MSZT, IST, JSMO, KEBS, LNCSM, LASA, IMANOR, ISM, MSB, DGN, MASM, NZSO, PSQCA, INACAL, BPS, PKN, IPQ, ASRO, SLSI, UNMS SR, TBS, UNMZ, TISI, ISRSM, INNORPI, TSE, UNIT, STAMEQ, ISS, PSI, SIST, ESWASA, OSN, UNBS, OCC, ISME, AGANOR, ONANOR, SKNBS]","[54110, 6131376, 5013818, 52662, 6794475, 5261836, 10138914, 6162751, 624837, 656906, 55172, 55110, 11064026, 53186, 656967, 54706, 45086, 55134, 6266604, 54960, 7622897, 53650, 55016, 55228, 54904, 629086, 48750, 6483279, 45072, 48104, 601355, 45674, 45306, 45342, 53390, 7622894, 5336224, 49742, 45144, 53058, 6441249]","[ISO/TC 184, ISO/TC 304, ISO/IEC JTC 1/SC 40, ISO/TC 145, ISO/IEC JTC 1/SC 42, ISO/TC 282/SC 2, IEC/ISO JTC 3, null, ISO/TC 258, ISO/TC 268, null, null, ISO/IEC JTC 4, ISO/TC 154, ISO/TC 268/SC 1, ISO/TC 204, ISO/IEC JTC 1/SC 7, null, ISO/TC 307, ISO/TC 215, null, ISO/TC 171, null, null, ISO/TC 211, ISO/TC 261, ISO/TC 46, ISO/IEC JTC 1/SC 41, ISO/IEC JTC 1/SC 6, ISO/TC 37, ISO/IEC JTC 1/SC 38, ISO/TC 6, ISO/IEC JTC 1/SC 27, ISO/IEC JTC 1/SC 32, ISO/TC 159/SC 5, null, ISO/TC 20/SC 16, ISO/TC 69, ISO/IEC JTC 1/SC 17, ISO/TC 150, null]","[3182, 9018, 9236, 9657]","[EC - European Commission, Ecma International, ICAO, ITU]",ISO/IEC JTC 001
45050,ISO/IEC JTC 1/SC 2,Active,Coded character sets,Jeux de caractères codés,1835,JISC,1987-12-16,"Standardization of graphic character sets and their characteristics, including string ordering, associated control functions, their coded representation for information interchange and code extension techniques. Excluded: audio and picture coding.","Normalisation des jeux de caractères graphiques et de leurs caractéristiques, y compris l'ordre de classement des chaînes, les fonctions de commande associées, leur représentation codée pour l'échange d'information et les techniques d'extension de code. Sont exclus: le codage audio et d'image.",45020,,"[1511, 1619, 1635, 1663, 1738, 1759, 1784, 1794, 1798, 1815, 1835, 1848, 1994, 2045, 2064, 2091, 2133, 2172, 2176, 2188, 2199, 2209]","[DIN, SCC, SAC, KATS, AFNOR, ELOT, MSZT, BIS, BSN, NSAI, JISC, CTRM, SN, PKN, BSI, SLSI, UNMZ, SE UkrNDNC, GOST R, ANSI, STAMEQ, ISS]","[1489, 1516, 1529, 1561, 1603, 1657, 1684, 1690, 1700, 1734, 1747, 1770, 1788, 1803, 1823, 1897, 1911, 1931, 1954, 1965, 2017, 2027, 2058, 2106, 2139, 2158, 2168, 299538]","[ARMSTANDARD, SASO, ASI, NBN, ISBIH, CSK, NC, AZSTAND, EOS, SFS, GSA, ITCHKSAR, IST, INSO, UNI, LASA, DSM, IMANOR, DGN, MASM, PSQCA, NEN, ASRO, SNV, TISI, INNORPI, TSE, SIST]","[45382, 48798, 48124, 54706, 45374]","[ISO/IEC JTC 1/SC 35, ISO/TC 46/SC 4, ISO/TC 37/SC 2, ISO/TC 204, ISO/IEC JTC 1/SC 34]","[3182, 9010, 9301, 9418, 9657, 9773, 9799, 9801, 342878]","[EC - European Commission, UNECE, CCSDS, ISOC, ITU, UNCTAD, WIPO, WMO, UNICODE]",ISO/IEC JTC 001/~SC 002
45072,ISO/IEC JTC 1/SC 6,Active,Telecommunications and information exchange between systems,Téléinformatique,1663,KATS,1988-01-12,"Since SC6 was established in 1964, SC6 has worked on standardization in the field of telecommunications dealing with the exchange of information between open systems, including system functions, procedures, parameters as well as the conditions for their use. This standardization encompasses protocols and services of lower layers including physical, data link, network, and transport as well as those of upper layers including but not limited to Directory and ASN.1: MFAN, NFC, PLC, Future Networks and OID.","Depuis sa création en 1964, le SC6 a mené des travaux de normalisation dans le domaine des télécommunications portant sur l'échange d'information entre les systèmes ouverts, couvrant les fonctions, les procédures et les paramètres système ainsi que les conditions de leur utilisation. Cette normalisation englobe les protocoles et les services des couches basses comprenant la couche physique, la couche liaison de données, la couche réseau et la couche transport ainsi que ceux des couches hautes comprenant, entre autres, Directory et ASN.1: MFAN, NFC, PLC, réseaux du futur et OID.",45020,,"[1511, 1524, 1529, 1561, 1619, 1635, 1663, 1696, 1717, 1794, 1835, 2027, 2064, 2106, 2172, 2176, 2188, 308878]","[DIN, SA, ASI, NBN, SCC, SAC, KATS, DS, UNE, BIS, JISC, NEN, BSI, SNV, SE UkrNDNC, GOST R, ANSI, O'ZTTSA]","[1516, 1520, 1555, 1603, 1640, 1644, 1684, 1690, 1738, 1747, 1759, 1770, 1776, 1784, 1788, 1798, 1803, 1815, 1823, 1848, 1854, 1911, 1927, 1938, 1998, 2017, 2041, 2045, 2058, 2074, 2120, 2133, 2139, 2158, 2168, 2209, 299538]","[SASO, IRAM, BELST, ISBIH, CYS, ICONTEC, NC, AZSTAND, AFNOR, GSA, ELOT, ITCHKSAR, ILNAS, MSZT, IST, BSN, INSO, NSAI, UNI, CTRM, KEBS, DSM, MCCAA, ISM, NZSO, PSQCA, BPS, PKN, ASRO, SSC, TBS, UNMZ, TISI, INNORPI, TSE, ISS, SIST]","[7863183, 49650, 5383568, 6794475, 10138914, 45316, 9082407, 313770, 54706, 6266604, 54960, 45020, 45252, 55228, 6483279, 601355, 45306, 5336224, 45144, 6441249]","[null, ISO/TC 68, ISO/TC 22/SC 31, ISO/IEC JTC 1/SC 42, IEC/ISO JTC 3, ISO/IEC JTC 1/SC 29, ISO/IEC JTC 1/SC 43, ISO/IEC JTC 1/SC 37, ISO/TC 204, ISO/TC 307, ISO/TC 215, ISO/IEC JTC 1, ISO/IEC JTC 1/SC 24, null, ISO/IEC JTC 1/SC 41, ISO/IEC JTC 1/SC 38, ISO/IEC JTC 1/SC 27, ISO/TC 20/SC 16, ISO/IEC JTC 1/SC 17, null]","[3182, 8906, 8908, 9006, 9010, 9018, 9236, 9418, 9657, 9773, 9781, 9801, 9999, 11326, 306174, 5122877, 11155690]","[EC - European Commission, CEPT, CERN, ETSI, UNECE, Ecma International, ICAO, ISOC, ITU, UNCTAD, UPU, WMO, ITSO, IEEE, OASIS, WFEO, CIGRE]",ISO/IEC JTC 001/~SC 006
45086,ISO/IEC JTC 1/SC 7,Active,Software and systems engineering,Ingénierie du logiciel et des systèmes,1794,BIS,1987-12-16,"Standardization of processes, supporting tools and supporting technologies for the engineering of software products and systems.<p>Note: The processes, tools and technologies are within the scope of JTC1 terms of references and exclude specific tools and technologies that have been assigned by JTC1 to other of its SC's.","Normalisation des processus, des outils d’aide et des technologies d’aide pour l'ingénierie des produits et systèmes logiciels.<p>Note: Les processus, les outils et les technologies entrent dans le domaine d'application des termes de référence du JTC 1 et excluent les outils et technologies spécifiques qui ont été attribués par le JTC 1 à d'autres de ses sous-comités",45020,,"[1485, 1511, 1524, 1561, 1579, 1619, 1635, 1640, 1663, 1696, 1717, 1734, 1738, 1776, 1794, 1803, 1815, 1819, 1823, 1835, 1911, 1927, 1998, 2027, 2036, 2045, 2054, 2064, 2101, 2106, 2110, 2133, 2139, 2168, 2172, 2176, 2188]","[SABS, DIN, SA, NBN, ABNT, SCC, SAC, CYS, KATS, DS, UNE, SFS, AFNOR, ILNAS, BIS, INSO, NSAI, SII, UNI, JISC, DSM, MCCAA, NZSO, NEN, INACAL, PKN, IPQ, BSI, SIS, SNV, UNMS SR, UNMZ, TISI, TSE, SE UkrNDNC, GOST R, ANSI]","[1520, 1529, 1555, 1603, 1629, 1644, 1667, 1684, 1721, 1747, 1770, 1784, 1788, 1798, 1848, 1854, 1931, 1954, 1982, 1994, 2017, 2031, 2041, 2058, 2154, 2182, 2209, 308878]","[IRAM, ASI, BELST, ISBIH, INN, ICONTEC, INTECO, NC, EVS, GSA, ITCHKSAR, MSZT, IST, BSN, CTRM, KEBS, IMANOR, DGN, SON, SN, PSQCA, DGNTI, BPS, ASRO, ISRSM, UNIT, ISS, O'ZTTSA]","[53896, 604321, 54110, 5013818, 6794475, 5383636, 53882, 313770, 53888, 53372, 55134, 6266604, 54960, 45020, 54892, 4587737, 6483279, 54998, 601355, 45306]","[ISO/TC 176/SC 2, ISO/TC 251, ISO/TC 184, ISO/IEC JTC 1/SC 40, ISO/IEC JTC 1/SC 42, ISO/TC 22/SC 32, ISO/TC 176, ISO/IEC JTC 1/SC 37, ISO/TC 176/SC 1, ISO/TC 159/SC 4, null, ISO/TC 307, ISO/TC 215, ISO/IEC JTC 1, ISO/TC 210, ISO/TC 279, ISO/IEC JTC 1/SC 41, null, ISO/IEC JTC 1/SC 38, ISO/IEC JTC 1/SC 27]","[9442, 9657, 10226, 11326, 519231, 526206, 568068, 5100110]","[OMG, ITU, INCOSE, IEEE, itSMF, PMI, ISACA, SBS - Small Business Standards]",ISO/IEC JTC 001/~SC 007
45144,ISO/IEC JTC 1/SC 17,Active,Cards and security devices for personal identification,Cartes et dispositifs de sécurité pour l’identification des personnes,2064,BSI,1987-12-16,"The current area of work for JTC 1/SC 17 consists of:<UL><LI>Identification and related documents,<LI>Cards, <LI>Security devices and tokens</UL>and interface associated with their use in inter-industry applications and international interchange","Le champ actuellement couvert par les travaux du JTC 1/SC 17 est le suivant :<UL><LI>Documents d’identification et documents connexes, <LI>Cartes,<LI>Dispositifs de sécurité et jetons</UL>et l’interface associée à leur utilisation dans les applications intersectorielles et les échanges internationaux",45020,,"[1485, 1511, 1524, 1529, 1561, 1619, 1635, 1640, 1663, 1696, 1717, 1734, 1738, 1776, 1794, 1819, 1823, 1835, 1848, 1854, 1911, 1982, 1994, 1998, 2027, 2045, 2054, 2058, 2064, 2074, 2101, 2106, 2110, 2133, 2172, 2176, 2188, 299538]","[SABS, DIN, SA, ASI, NBN, SCC, SAC, CYS, KATS, DS, UNE, SFS, AFNOR, ILNAS, BIS, SII, UNI, JISC, CTRM, KEBS, DSM, SON, SN, NZSO, NEN, PKN, IPQ, ASRO, BSI, SSC, SIS, SNV, UNMS SR, UNMZ, SE UkrNDNC, GOST R, ANSI, SIST]","[1489, 1520, 1555, 1603, 1680, 1721, 1747, 1770, 1784, 1788, 1798, 1803, 1815, 1897, 1938, 2017, 2139, 2154, 2168, 2199, 2209, 308866]","[ARMSTANDARD, IRAM, BELST, ISBIH, HZN, EVS, GSA, ITCHKSAR, MSZT, IST, BSN, INSO, NSAI, LASA, ISM, PSQCA, TISI, ISRSM, TSE, STAMEQ, ISS, UNBS]","[45332, 313770, 54706, 6266604, 54960, 45020, 6534796, 6483279, 45072, 10778243, 45306, 5336224]","[ISO/IEC JTC 1/SC 31, ISO/IEC JTC 1/SC 37, ISO/TC 204, ISO/TC 307, ISO/TC 215, ISO/IEC JTC 1, ISO/TC 68/SC 8, ISO/IEC JTC 1/SC 41, ISO/IEC JTC 1/SC 6, ISO/IEC JTC 1/SC 44, ISO/IEC JTC 1/SC 27, ISO/TC 20/SC 16]","[3182, 9006, 9018, 9236, 9270, 9274, 9410, 363363, 5100110, 5149604, 8569533, 9053183, 10421683]","[EC - European Commission, ETSI, Ecma International, ICAO, Mastercard, VISA, ICMA, Global Platform - Global Platform Inc., SBS - Small Business Standards, OIDF, EMVCo LLC, UNHCR, UATP]",ISO/IEC JTC 001/~SC 017
45202,ISO/IEC JTC 1/SC 22,Active,"Programming languages, their environments and system software interfaces","Langages de programmation, leur environnement et interfaces des logiciels de systèmes",2188,ANSI,1987-10-06,"JTC1/SC 22 is the international standardization subcommittee for programming languages, their environments and system software interfaces. SC 22 is oftentimes called the 'portability subcommittee'.","Le JTC 1/SC 22 est le sous-comité de normalisation internationale qui consacre ses travaux aux langages de programmation, à l'environnement de ces langages et aux interfaces des logiciels de systèmes. Le SC 22 est souvent dénommé 'sous-comité portabilité'.",45020,,"[1511, 1529, 1579, 1597, 1619, 1635, 1663, 1696, 1717, 1734, 1738, 1794, 1815, 1819, 1823, 1835, 1848, 2027, 2045, 2058, 2064, 2101, 2106, 2133, 2172, 2176, 2188]","[DIN, ASI, ABNT, BDS, SCC, SAC, KATS, DS, UNE, SFS, AFNOR, BIS, NSAI, SII, UNI, JISC, CTRM, NEN, PKN, ASRO, BSI, SIS, SNV, UNMZ, SE UkrNDNC, GOST R, ANSI]","[1520, 1561, 1603, 1657, 1684, 1700, 1747, 1759, 1784, 1788, 1798, 1803, 1911, 1994, 1998, 2017, 2054, 2110, 2139, 2168, 2209, 299538]","[IRAM, NBN, ISBIH, CSK, NC, EOS, GSA, ELOT, MSZT, IST, BSN, INSO, DSM, SN, NZSO, PSQCA, IPQ, UNMS SR, TISI, TSE, ISS, SIST]","[6483279, 48104, 45306]","[ISO/IEC JTC 1/SC 41, ISO/TC 37, ISO/IEC JTC 1/SC 27]","[9018, 342878, 531853]","[Ecma International, UNICODE, Linux Foundation]",ISO/IEC JTC 001/~SC 022
45240,ISO/IEC JTC 1/SC 23,Active,Digitally recorded media for information interchange and storage,Supports enregistrés numériquement pour échange et stockage d'information,1835,JISC,1987-12-16,"Standardization in the field of removable digital storage media utilizing optical, holographic and magnetic recording technologies, and flash memory technologies for digital information interchange, including;<UL> <LI>algorithms for the lossless compression of data<LI>volume and file structure<LI>methods for determining the life expectancy of digital storage media<LI>methods for error monitoring of digital storage media</UL>","Normalisation dans le domaine des supports de stockage de données numériques amovibles utilisant les technologies d'enregistrement optiques, holographiques et magnétiques et les technologies de mémoire flash pour les échanges de données numériques, notamment :<UL><LI>algorithmes de compression de données sans pertes<LI>volume et structure des fichiers<LI>méthodes de détermination de l'espérance de vie des supports de stockage de données numériques<LI>méthodes de contrôle des erreurs des supports de stockage de données numériques</UL>",45020,,"[1635, 1663, 1835, 1848, 2027, 2106, 2176]","[SAC, KATS, JISC, CTRM, NEN, SNV, GOST R]","[1520, 1529, 1561, 1597, 1603, 1684, 1738, 1747, 1784, 1788, 1794, 1798, 1803, 1823, 2045, 2058, 2133, 2139, 2172, 2209]","[IRAM, ASI, NBN, BDS, ISBIH, NC, AFNOR, GSA, MSZT, IST, BIS, BSN, INSO, UNI, PKN, ASRO, UNMZ, TISI, SE UkrNDNC, ISS]","[45020, 48420, 53666]","[ISO/IEC JTC 1, ISO/TC 42, ISO/TC 171/SC 1]","[9018, 9799]","[Ecma International, WIPO]",ISO/IEC JTC 001/~SC 023
45252,ISO/IEC JTC 1/SC 24,Active,"Computer graphics, image processing and environmental data representation","Infographie, traitement de l'image et représentation des données environnementales",2064,BSI,1987-11-11,"Standardization relating to:<ul><li>computer graphics,</li><li>image processing,</li><li>virtual reality, augmented reality, and mixed reality,</li><li>environmental data representation,</li><li>visualization of, and interaction with, information</li></ul></p><p>Excluded: efficient coding of multimedia</p>","Normalisation relative aux domaines suivants :<ul><li>l'infographie,</li><li>le traitement de l'image,</li><li>la réalité virtuelle, la réalité augmentée et la réalité mixte,</li><li>la représentation des données environnementales ;</li><li>l'interaction avec les informations et leur visualisation</li></ul></p><p>Domaine exclu: codage efficace de multimédias</p>",45020,,"[1511, 1524, 1635, 1663, 1734, 1738, 1794, 1815, 1835, 1848, 2064, 2106, 2172, 2176, 2188]","[DIN, SA, SAC, KATS, SFS, AFNOR, BIS, NSAI, JISC, CTRM, BSI, SNV, SE UkrNDNC, GOST R, ANSI]","[1520, 1529, 1555, 1561, 1603, 1684, 1700, 1747, 1784, 1788, 1798, 1803, 1823, 1911, 1982, 1998, 2045, 2054, 2058, 2110, 2133, 2139, 2209]","[IRAM, ASI, BELST, NBN, ISBIH, NC, EOS, GSA, MSZT, IST, BSN, INSO, UNI, DSM, SON, NZSO, PKN, IPQ, ASRO, UNMS SR, UNMZ, TISI, ISS]","[537864, 6794475, 45316, 53362, 54960, 45020, 55160, 55228, 54158, 54904, 6483279, 10778243, 601355, 45306, 45392]","[ISO/TC 232, ISO/IEC JTC 1/SC 42, ISO/IEC JTC 1/SC 29, ISO/TC 159/SC 3, ISO/TC 215, ISO/IEC JTC 1, null, null, ISO/TC 184/SC 4, ISO/TC 211, ISO/IEC JTC 1/SC 41, ISO/IEC JTC 1/SC 44, ISO/IEC JTC 1/SC 38, ISO/IEC JTC 1/SC 27, ISO/IEC JTC 1/SC 36]","[9941, 10133, 286826, 560715, 9867893, 11669487]","[Web3D, SEDRIS, SISO, Khronos, VDC, MSF]",ISO/IEC JTC 001/~SC 024
