from_id,to_id,relationship_type,confidence,source_url,notes
TECH-ISO-IEC-31010-2009-2009,TECH-ISO-ISO-31000-2018-2018,references,source-confirmed,https://www.iso.org/standard/51073,Extracted from ISO source metadata text referencing ISO 31000.
TECH-ISO-IEC-31010-2019-2019,TECH-ISO-ISO-31000-2018-2018,references,source-confirmed,https://www.iso.org/standard/72140,Extracted from ISO source metadata text referencing ISO 31000.
TECH-ISO-IEC-60601-2-31-2020-2020,TECH-ISO-ISO-14117-2019-2019,references,source-confirmed,https://www.iso.org/standard/72452,Extracted from ISO source metadata text referencing ISO 14117.
TECH-ISO-IEC-60601-2-31-2020-2020,TECH-ISO-ISO-14708-1-2014-2014,references,source-confirmed,https://www.iso.org/standard/72452,Extracted from ISO source metadata text referencing ISO 14708-1.
TECH-ISO-IEC-60601-2-31-2020-2020,TECH-ISO-ISO-14708-2-2019-2019,references,source-confirmed,https://www.iso.org/standard/72452,Extracted from ISO source metadata text referencing ISO 14708-2.
TECH-ISO-IEC-62264-1-2013-2013,TECH-ISO-ISO-15704-2019-2019,references,source-confirmed,https://www.iso.org/standard/57308,Extracted from ISO source metadata text referencing ISO 15704.
TECH-ISO-IEC-62264-3-2016-2016,TECH-ISO-ISO-15704-2019-2019,references,source-confirmed,https://www.iso.org/standard/67480,Extracted from ISO source metadata text referencing ISO 15704.
TECH-ISO-IEC-62366-1-2015-2015,TECH-ISO-ISO-14971-2019-2019,references,source-confirmed,https://www.iso.org/standard/63179,Extracted from ISO source metadata text referencing ISO 14971.
TECH-ISO-IEC-62366-2007-2007,TECH-ISO-ISO-14971-2019-2019,references,source-confirmed,https://www.iso.org/standard/38594,Extracted from ISO source metadata text referencing ISO 14971.
TECH-ISO-IEC-80000-13-2008-2008,TECH-ISO-ISO-12-1987-1987,references,source-confirmed,https://www.iso.org/standard/31898,Extracted from ISO source metadata text referencing ISO 12.
TECH-ISO-IEC-80000-14-2008-2008,TECH-ISO-ISO-12-1987-1987,references,source-confirmed,https://www.iso.org/standard/43012,Extracted from ISO source metadata text referencing ISO 12.
TECH-ISO-IEC-80000-6-2008-2008,TECH-ISO-ISO-12-1987-1987,references,source-confirmed,https://www.iso.org/standard/31891,Extracted from ISO source metadata text referencing ISO 12.
TECH-ISO-IEC-80000-6-2008-2008,TECH-ISO-ISO-31-5-1992-AMD-1-1998-1998,references,source-confirmed,https://www.iso.org/standard/31891,Extracted from ISO source metadata text referencing ISO 31-5.
TECH-ISO-IEC-80001-1-2021-2021,TECH-ISO-ISO-31000-2018-2018,references,source-confirmed,https://www.iso.org/standard/72026,Extracted from ISO source metadata text referencing ISO 31000.
TECH-ISO-IEC-80601-2-30-2018-2018,TECH-ISO-ISO-81060-1-2007-2007,references,source-confirmed,https://www.iso.org/standard/70653,Extracted from ISO source metadata text referencing ISO 81060-1.
TECH-ISO-IEC-80601-2-71-2025-2025,TECH-ISO-ISO-80601-2-90-2026-2026,references,source-confirmed,https://www.iso.org/standard/82404,Extracted from ISO source metadata text referencing ISO 80601-2.
TECH-ISO-IEC-80601-2-78-2019-2019,TECH-ISO-ISO-13482-2014-2014,references,source-confirmed,https://www.iso.org/standard/68474,Extracted from ISO source metadata text referencing ISO 13482.
TECH-ISO-IEC-80601-2-78-2019-2019,TECH-ISO-ISO-22523-2006-2006,references,source-confirmed,https://www.iso.org/standard/68474,Extracted from ISO source metadata text referencing ISO 22523.
