id,type,url,version,name,jurisdiction,fhirVersion,source_archive
icd11-mms,CodeSystem,http://id.who.int/icd/release/11/mms,0.4.2,ICD11MMSCS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
dgda-drug-registry,CodeSystem,https://dgda.gov.bd/drug-registry,0.4.2,BDDGDADrugCS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
dgda-registered-drugs,ValueSet,https://dgda.gov.bd/fhir/ValueSet/registered-drugs,0.4.2,BDDGDADrugsVS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-blood-groups,CodeSystem,https://fhir.dghs.gov.bd/core/CodeSystem/bd-blood-groups,0.4.2,BDBloodGroupCS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-country-list,CodeSystem,https://fhir.dghs.gov.bd/core/CodeSystem/bd-country-list,0.4.2,BDCountryListCS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-dose-form,CodeSystem,https://fhir.dghs.gov.bd/core/CodeSystem/bd-dose-form,0.4.2,BDMedicationDoseForm,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-geocodes,CodeSystem,https://fhir.dghs.gov.bd/core/CodeSystem/bd-geocodes,0.4.2,BDGeoCodesCS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-identifier-type,CodeSystem,https://fhir.dghs.gov.bd/core/CodeSystem/bd-identifier-type,0.4.2,BangladeshIdentifierType,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-immunization-reaction,CodeSystem,https://fhir.dghs.gov.bd/core/CodeSystem/bd-immunization-reaction,0.4.2,BDImmunizationReactionCS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-immunization-route,CodeSystem,https://fhir.dghs.gov.bd/core/CodeSystem/bd-immunization-route,0.4.2,BDImmunizationRouteCS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
bd-immunization-site,CodeSystem,https://fhir.dghs.gov.bd/core/CodeSystem/bd-immunization-site,0.4.2,BDImmunizationSiteCS,urn:iso:std:iso:3166#050,4.0.1,full-ig.zip
