idx,description,url,name,pageTitle,title,source_file
1,Shared Health Record (EN),http://en.info.shr.dghs.gov.bd/,index(1).html,Technical Details – Shared Health Record (EN),Shared Health Record (EN),links.json
2,Home,https://en.info.shr.dghs.gov.bd/,index.html,Technical Details – Shared Health Record (EN),,links.json
3,Dashboard,https://dashboard.dghs.gov.bd/pages/index.php,index.php,Technical Details – Shared Health Record (EN),,links.json
4,e-Appointment,https://eappointment.dghs.gov.bd/,index(2).html,Technical Details – Shared Health Record (EN),,links.json
5,Component,https://en.info.shr.dghs.gov.bd/technical-support/,technical-support.html,Technical Details – Shared Health Record (EN),,links.json
6,Hospital Management System,http://en.info.shr.dghs.gov.bd/hms/,hms.html,Technical Details – Shared Health Record (EN),,links.json
7,Unique Health ID,http://en.info.shr.dghs.gov.bd/uhidmci/,uhidmci.html,Technical Details – Shared Health Record (EN),,links.json
8,Health Information Exchange (HIE),http://en.info.shr.dghs.gov.bd/hie/,hie.html,Technical Details – Shared Health Record (EN),,links.json
9,Personal Health Profile (EHR),http://en.info.shr.dghs.gov.bd/phr/,phr.html,Technical Details – Shared Health Record (EN),,links.json
10,Security and Privacy,http://en.info.shr.dghs.gov.bd/secuirity/,secuirity.html,Technical Details – Shared Health Record (EN),,links.json
11,Technical Details,http://en.info.shr.dghs.gov.bd/technical-support/,technical-support(1).html,Technical Details – Shared Health Record (EN),,links.json
12,FHIR IG,https://fhir.dghs.gov.bd/,index(3).html,Technical Details – Shared Health Record (EN),,links.json
13,1. Introduction,https://docs.google.com/document/d/1WS5d7FnqGojGxjwnOa_7rocA3SRpmYfD/edit?usp=sharing&ouid=102023345072709742373&rtpof=true&sd=true,edit.html,Technical Details – Shared Health Record (EN),,links.json
14,2. Get Health ID,https://docs.google.com/document/d/1EkpbtP0JpaM0ZEDiSLYpyapVB0mHbK3V7T_wh1Tn8TQ/edit?tab=t.0,edit(1).html,Technical Details – Shared Health Record (EN),,links.json
15,3. Clinical Data Exchange,https://docs.google.com/document/d/1gkJrSH_q-I9CEQ32wUd_kDnf7IlLO_8_0PGkkdw_jNU/edit?tab=t.0,edit(2).html,Technical Details – Shared Health Record (EN),,links.json
16,Contact,http://en.info.shr.dghs.gov.bd/contact/,contact.html,Technical Details – Shared Health Record (EN),,links.json
17,Introduction,http://en.info.shr.dghs.gov.bd/technical-support/introduction/,introduction.html,Technical Details – Shared Health Record (EN),,links.json
18,Overall architecture,http://en.info.shr.dghs.gov.bd/technical-support/overall-architecture/,overall-architecture.html,Technical Details – Shared Health Record (EN),,links.json
19,HIE Components,http://en.info.shr.dghs.gov.bd/technical-support/hie-components/,hie-components.html,Technical Details – Shared Health Record (EN),,links.json
20,Identiy Provider,http://en.info.shr.dghs.gov.bd/technical-support/identiy-provider/,identiy-provider.html,Technical Details – Shared Health Record (EN),,links.json
21,Facility Registry,http://en.info.shr.dghs.gov.bd/technical-support/facility-registry/,facility-registry.html,Technical Details – Shared Health Record (EN),,links.json
22,Location Registry,http://en.info.shr.dghs.gov.bd/technical-support/location-registry/,location-registry.html,Technical Details – Shared Health Record (EN),,links.json
23,Provider Registry,http://en.info.shr.dghs.gov.bd/technical-support/provider-registry/,provider-registry.html,Technical Details – Shared Health Record (EN),,links.json
24,Concept Reference Term API,http://en.info.shr.dghs.gov.bd/technical-support/concept-reference-term-api/,concept-reference-term-api.html,Technical Details – Shared Health Record (EN),,links.json
25,How do you go about introduction of terminology?,http://en.info.shr.dghs.gov.bd/technical-support/how-do-you-go-about-introduction-of-terminology/,how-do-you-go-about-introduction-of-terminology.html,Technical Details – Shared Health Record (EN),,links.json
26,Integration with the Terminology Registry,http://en.info.shr.dghs.gov.bd/technical-support/integration-with-the-terminology-registry/,integration-with-the-terminology-registry.html,Technical Details – Shared Health Record (EN),,links.json
27,Terminology Registry,http://en.info.shr.dghs.gov.bd/technical-support/terminology-registry/,terminology-registry.html,Technical Details – Shared Health Record (EN),,links.json
28,Concept Class,http://en.info.shr.dghs.gov.bd/technical-support/concept-class/,concept-class.html,Technical Details – Shared Health Record (EN),,links.json
29,Local concepts vs TR Concepts,http://en.info.shr.dghs.gov.bd/technical-support/local-concepts-vs-tr-concepts/,local-concepts-vs-tr-concepts.html,Technical Details – Shared Health Record (EN),,links.json
30,Other standards,http://en.info.shr.dghs.gov.bd/technical-support/other-standards/,other-standards.html,Technical Details – Shared Health Record (EN),,links.json
31,Procedures,http://en.info.shr.dghs.gov.bd/technical-support/procedures/,procedures.html,Technical Details – Shared Health Record (EN),,links.json
32,Terminologies Standards,http://en.info.shr.dghs.gov.bd/technical-support/terminologies-standards/,terminologies-standards.html,Technical Details – Shared Health Record (EN),,links.json
33,Tests,http://en.info.shr.dghs.gov.bd/technical-support/tests/,tests.html,Technical Details – Shared Health Record (EN),,links.json
34,Valuesets,http://en.info.shr.dghs.gov.bd/technical-support/valuesets/,valuesets.html,Technical Details – Shared Health Record (EN),,links.json
35,Concept API,http://en.info.shr.dghs.gov.bd/technical-support/concept-api/,concept-api.html,Technical Details – Shared Health Record (EN),,links.json
36,Concept Feed API,http://en.info.shr.dghs.gov.bd/technical-support/concept-feed-api/,concept-feed-api.html,Technical Details – Shared Health Record (EN),,links.json
37,Medication API,http://en.info.shr.dghs.gov.bd/technical-support/medication-api/,medication-api.html,Technical Details – Shared Health Record (EN),,links.json
38,Medication Feed API,http://en.info.shr.dghs.gov.bd/technical-support/medication-feed-api/,medication-feed-api.html,Technical Details – Shared Health Record (EN),,links.json
39,Reference Terms API,http://en.info.shr.dghs.gov.bd/technical-support/reference-terms-api/,reference-terms-api.html,Technical Details – Shared Health Record (EN),,links.json
40,Reference Terms Feed API,http://en.info.shr.dghs.gov.bd/technical-support/reference-terms-feed-api/,reference-terms-feed-api.html,Technical Details – Shared Health Record (EN),,links.json
41,Terminology APIs,http://en.info.shr.dghs.gov.bd/technical-support/terminology-apis/,terminology-apis.html,Technical Details – Shared Health Record (EN),,links.json
42,Value Set API,http://en.info.shr.dghs.gov.bd/technical-support/value-set-api/,value-set-api.html,Technical Details – Shared Health Record (EN),,links.json
43,List of all MCI URLs,http://en.info.shr.dghs.gov.bd/technical-support/list-of-all-mci-urls/,list-of-all-mci-urls.html,Technical Details – Shared Health Record (EN),,links.json
44,Master Client Index,http://en.info.shr.dghs.gov.bd/technical-support/master-client-index/,master-client-index.html,Technical Details – Shared Health Record (EN),,links.json
45,MCI Admin UI,http://en.info.shr.dghs.gov.bd/technical-support/mci-admin-ui/,mci-admin-ui.html,Technical Details – Shared Health Record (EN),,links.json
46,Catchment Feed,http://en.info.shr.dghs.gov.bd/technical-support/catchment-feed/,catchment-feed.html,Technical Details – Shared Health Record (EN),,links.json
47,Create/Update,http://en.info.shr.dghs.gov.bd/technical-support/create-update/,create-update.html,Technical Details – Shared Health Record (EN),,links.json
48,DB Design,http://en.info.shr.dghs.gov.bd/technical-support/db-design/,db-design.html,Technical Details – Shared Health Record (EN),,links.json
49,Dedup,http://en.info.shr.dghs.gov.bd/technical-support/dedup/,dedup.html,Technical Details – Shared Health Record (EN),,links.json
50,Pending Approval,http://en.info.shr.dghs.gov.bd/technical-support/pending-approval/,pending-approval.html,Technical Details – Shared Health Record (EN),,links.json
51,Search,http://en.info.shr.dghs.gov.bd/technical-support/search/,search.html,Technical Details – Shared Health Record (EN),,links.json
52,Update Feed,http://en.info.shr.dghs.gov.bd/technical-support/update-feed/,update-feed.html,Technical Details – Shared Health Record (EN),,links.json
53,MCI Patient APIs,http://en.info.shr.dghs.gov.bd/technical-support/mci-patient-apis/,mci-patient-apis.html,Technical Details – Shared Health Record (EN),,links.json
54,MCI Patient Catchment Feed API,http://en.info.shr.dghs.gov.bd/technical-support/mci-patient-catchment-feed-api/,mci-patient-catchment-feed-api.html,Technical Details – Shared Health Record (EN),,links.json
55,MCI Patient Create Validations,http://en.info.shr.dghs.gov.bd/technical-support/mci-patient-create-validations/,mci-patient-create-validations.html,Technical Details – Shared Health Record (EN),,links.json
56,MCI Search API,http://en.info.shr.dghs.gov.bd/technical-support/mci-search-api/,mci-search-api.html,Technical Details – Shared Health Record (EN),,links.json
57,MCI Sub Services,http://en.info.shr.dghs.gov.bd/technical-support/mci-sub-services/,mci-sub-services.html,Technical Details – Shared Health Record (EN),,links.json
58,Update Patient API,http://en.info.shr.dghs.gov.bd/technical-support/update-patient-api/,update-patient-api.html,Technical Details – Shared Health Record (EN),,links.json
59,Catchment Encounters API,http://en.info.shr.dghs.gov.bd/technical-support/catchment-encounters-api/,catchment-encounters-api.html,Technical Details – Shared Health Record (EN),,links.json
60,Confidentiality,http://en.info.shr.dghs.gov.bd/technical-support/confidentiality/,confidentiality.html,Technical Details – Shared Health Record (EN),,links.json
61,fhir-extensions,http://en.info.shr.dghs.gov.bd/technical-support/fhir-extensions/,fhir-extensions.html,Technical Details – Shared Health Record (EN),,links.json
62,General Validations in SHR,http://en.info.shr.dghs.gov.bd/technical-support/general-validations-in-shr/,general-validations-in-shr.html,Technical Details – Shared Health Record (EN),,links.json
63,Shared Health Record,http://en.info.shr.dghs.gov.bd/technical-support/shared-health-record/,shared-health-record.html,Technical Details – Shared Health Record (EN),,links.json
64,SHR API Versions,http://en.info.shr.dghs.gov.bd/technical-support/shr-api-versions/,shr-api-versions.html,Technical Details – Shared Health Record (EN),,links.json
65,SHR Encounter API,http://en.info.shr.dghs.gov.bd/technical-support/shr-encounter-api/,shr-encounter-api.html,Technical Details – Shared Health Record (EN),,links.json
66,Configure and Schedule Reports for DHIS2,http://en.info.shr.dghs.gov.bd/technical-support/configure-and-schedule-reports-for-dhis2/,configure-and-schedule-reports-for-dhis2.html,Technical Details – Shared Health Record (EN),,links.json
67,DataSense,http://en.info.shr.dghs.gov.bd/technical-support/datasense/,datasense.html,Technical Details – Shared Health Record (EN),,links.json
68,Facility Information,http://en.info.shr.dghs.gov.bd/technical-support/facility-information/,facility-information.html,Technical Details – Shared Health Record (EN),,links.json
69,Manage Facilities,http://en.info.shr.dghs.gov.bd/technical-support/manage-facilities/,manage-facilities.html,Technical Details – Shared Health Record (EN),,links.json
70,Reporting for DHIS2,http://en.info.shr.dghs.gov.bd/technical-support/reporting-for-dhis2/,reporting-for-dhis2.html,Technical Details – Shared Health Record (EN),,links.json
71,Configuring a User for Patient Journal,http://en.info.shr.dghs.gov.bd/technical-support/configuring-a-user-for-patient-journal/,configuring-a-user-for-patient-journal.html,Technical Details – Shared Health Record (EN),,links.json
72,Patient Journal,http://en.info.shr.dghs.gov.bd/technical-support/patient-journal/,patient-journal.html,Technical Details – Shared Health Record (EN),,links.json
73,Getting started,http://en.info.shr.dghs.gov.bd/technical-support/getting-started/,getting-started.html,Technical Details – Shared Health Record (EN),,links.json
74,How to setup DataSense on Windows,http://en.info.shr.dghs.gov.bd/technical-support/how-to-setup-datasense-on-windows/,how-to-setup-datasense-on-windows.html,Technical Details – Shared Health Record (EN),,links.json
75,List of Services,http://en.info.shr.dghs.gov.bd/technical-support/list-of-services/,list-of-services.html,Technical Details – Shared Health Record (EN),,links.json
76,Troubleshooting,http://en.info.shr.dghs.gov.bd/technical-support/troubleshooting/,troubleshooting.html,Technical Details – Shared Health Record (EN),,links.json
77,Building services and components,http://en.info.shr.dghs.gov.bd/technical-support/building-services-and-components/,building-services-and-components.html,Technical Details – Shared Health Record (EN),,links.json
78,Environments,http://en.info.shr.dghs.gov.bd/technical-support/environments/,environments.html,Technical Details – Shared Health Record (EN),,links.json
79,Seed data set up,http://en.info.shr.dghs.gov.bd/technical-support/seed-data-set-up/,seed-data-set-up.html,Technical Details – Shared Health Record (EN),,links.json
80,Steps to set up go-agent,http://en.info.shr.dghs.gov.bd/technical-support/steps-to-set-up-go-agent/,steps-to-set-up-go-agent.html,Technical Details – Shared Health Record (EN),,links.json
81,Steps to setup Local Environments,http://en.info.shr.dghs.gov.bd/technical-support/steps-to-setup-local-environments/,steps-to-setup-local-environments.html,Technical Details – Shared Health Record (EN),,links.json
82,Cassandra,http://en.info.shr.dghs.gov.bd/technical-support/cassandra/,cassandra.html,Technical Details – Shared Health Record (EN),,links.json
83,LR Data Modelling (Deprecated),http://en.info.shr.dghs.gov.bd/technical-support/lr-data-modelling-deprecated/,lr-data-modelling-deprecated.html,Technical Details – Shared Health Record (EN),,links.json
84,Health ID Management,http://en.info.shr.dghs.gov.bd/technical-support/health-id-management/,health-id-management(1).html,Technical Details – Shared Health Record (EN),,links.json
85,Health ID Management,http://en.info.shr.dghs.gov.bd/technical-support/health-id-management/?seq_no=2,health-id-management.html,Technical Details – Shared Health Record (EN),,links.json
86,R1.0 HID Generation,http://en.info.shr.dghs.gov.bd/technical-support/r1-0-hid-generation/,r1-0-hid-generation.html,Technical Details – Shared Health Record (EN),,links.json
87,Fhir Upgrade,http://en.info.shr.dghs.gov.bd/technical-support/fhir-upgrade/,fhir-upgrade.html,Technical Details – Shared Health Record (EN),,links.json
88,Issues With FHIR Validations,http://en.info.shr.dghs.gov.bd/technical-support/issues-with-fhir-validations/,issues-with-fhir-validations.html,Technical Details – Shared Health Record (EN),,links.json
89,SHR Development,http://en.info.shr.dghs.gov.bd/technical-support/shr-development/,shr-development.html,Technical Details – Shared Health Record (EN),,links.json
90,Upgrading SHR,http://en.info.shr.dghs.gov.bd/technical-support/upgrading-shr/,upgrading-shr.html,Technical Details – Shared Health Record (EN),,links.json
91,AtomFeed Publication,http://en.info.shr.dghs.gov.bd/technical-support/atomfeed-publication/,atomfeed-publication.html,Technical Details – Shared Health Record (EN),,links.json
92,Family History Model,http://en.info.shr.dghs.gov.bd/technical-support/family-history-model/,family-history-model.html,Technical Details – Shared Health Record (EN),,links.json
93,Setup & configure Terminology Server,http://en.info.shr.dghs.gov.bd/technical-support/setup-configure-terminology-server/,setup-configure-terminology-server.html,Technical Details – Shared Health Record (EN),,links.json
94,API Management,http://en.info.shr.dghs.gov.bd/technical-support/api-management/,api-management.html,Technical Details – Shared Health Record (EN),,links.json
95,Atom Feed,http://en.info.shr.dghs.gov.bd/technical-support/atom-feed/,atom-feed.html,Technical Details – Shared Health Record (EN),,links.json
96,Creating an Observation Template,http://en.info.shr.dghs.gov.bd/technical-support/creating-an-observation-template/,creating-an-observation-template.html,Technical Details – Shared Health Record (EN),,links.json
97,Program Setup,http://en.info.shr.dghs.gov.bd/technical-support/program-setup/,program-setup.html,Technical Details – Shared Health Record (EN),,links.json
98,Reference Client Application for SHR,http://en.info.shr.dghs.gov.bd/technical-support/reference-client-application-for-shr/,reference-client-application-for-shr.html,Technical Details – Shared Health Record (EN),,links.json
99,Steps after new bahmni installation,http://en.info.shr.dghs.gov.bd/technical-support/steps-after-new-bahmni-installation/,steps-after-new-bahmni-installation.html,Technical Details – Shared Health Record (EN),,links.json
100,Steps to set up Mysql replication,http://en.info.shr.dghs.gov.bd/technical-support/steps-to-set-up-mysql-replication/,steps-to-set-up-mysql-replication.html,Technical Details – Shared Health Record (EN),,links.json
101,Steps to setup new Openmrs Order Type,http://en.info.shr.dghs.gov.bd/technical-support/steps-to-setup-new-openmrs-order-type/,steps-to-setup-new-openmrs-order-type.html,Technical Details – Shared Health Record (EN),,links.json
102,Health ID card Generation and Distribution,http://en.info.shr.dghs.gov.bd/technical-support/health-id-card-generation-and-distribution/,health-id-card-generation-and-distribution.html,Technical Details – Shared Health Record (EN),,links.json
103,Patients visit facility which is connected to internet,http://en.info.shr.dghs.gov.bd/technical-support/patients-visit-facility-which-is-connected-to-internet/,patients-visit-facility-which-is-connected-to-internet.html,Technical Details – Shared Health Record (EN),,links.json
104,User Workflows,http://en.info.shr.dghs.gov.bd/technical-support/user-workflows/,user-workflows.html,Technical Details – Shared Health Record (EN),,links.json
105,R2.4,http://en.info.shr.dghs.gov.bd/technical-support/r2-4/,r2-4.html,Technical Details – Shared Health Record (EN),,links.json
106,Release Notes,http://en.info.shr.dghs.gov.bd/technical-support/release-notes/,release-notes.html,Technical Details – Shared Health Record (EN),,links.json
107,FreeSHR-Playbooks,http://en.info.shr.dghs.gov.bd/technical-support/freeshr-playbooks/,freeshr-playbooks.html,Technical Details – Shared Health Record (EN),,links.json
108,Installing Cassandra,http://en.info.shr.dghs.gov.bd/technical-support/installing-cassandra/,installing-cassandra.html,Technical Details – Shared Health Record (EN),,links.json
109,Installing Health-Id Server,http://en.info.shr.dghs.gov.bd/technical-support/installing-health-id-server/,installing-health-id-server.html,Technical Details – Shared Health Record (EN),,links.json
