ID,Layer,Domain,Sub-Domain,Entry Type,Name (Full),Acronym,Issuer / Steward,HQ / Region,Scope,Year Est./Published,Status,Why It Matters,Key Outputs / Standards,Official URL,Notes
MG-001,International,Meta-Governance,Cross-Sector,Standards Body,International Organization for Standardization,ISO,ISO,"Geneva, Switzerland",Global,1947,Active,"World's largest standards body; >25,000 published standards across all sectors","ISO 9001, 14001, 27001, 45001, 22000, 13485 and 250+ TC portfolios",https://www.iso.org,
MG-002,International,Meta-Governance,Electrotechnical,Standards Body,International Electrotechnical Commission,IEC,IEC,"Geneva, Switzerland",Global,1906,Active,"Global standards for electrical, electronic and related technologies","IEC 60068, IEC 61000, IEC 62443, IEC 60601 series",https://www.iec.ch,
MG-003,International,Meta-Governance,ICT / Telecom,Standards Body,International Telecommunication Union,ITU,UN System,"Geneva, Switzerland",Global,1865,Active,UN specialized agency; global ICT and telecom standards and spectrum management,"ITU-T, ITU-R, ITU-D recommendations; radiocommunication regulations",https://www.itu.int,Treaty-based UN agency
MG-004,International,Meta-Governance,Measurement,Standards Body,Bureau International des Poids et Mesures,BIPM,BIPM,"Sèvres, France",Global,1875,Active,Maintains SI units; global measurement standards and metrology,"SI (International System of Units), CIPM Mutual Recognition Arrangement",https://www.bipm.org,Treaty-based under Metre Convention 1875
MG-005,International,Meta-Governance,Legal Metrology,Standards Body,International Organization of Legal Metrology,OIML,OIML,"Paris, France",Global,1955,Active,Develops model metrological regulations for adoption by national authorities,OIML International Recommendations (R series),https://www.oiml.org,
MG-006,International,Meta-Governance,Accreditation,Standards Body,International Laboratory Accreditation Cooperation,ILAC,ILAC,"Rhodes, Australia",Global,1977,Active,Coordinates laboratory and inspection body accreditation worldwide,ILAC Mutual Recognition Arrangement (MRA),https://ilac.org,
MG-007,International,Meta-Governance,Accreditation,Standards Body,International Accreditation Forum,IAF,IAF,Global,Global,1993,Active,"Develops accreditation for certification, inspection, and validation bodies",IAF Multilateral Recognition Arrangement (MLA),https://www.iaf.nu,
MG-008,International,Meta-Governance,Trade/Standards,Framework,WTO Technical Barriers to Trade Agreement,TBT Agreement,WTO,"Geneva, Switzerland",Global,1995,Active,Ensures technical regulations and standards do not create unnecessary barriers to trade,"TBT notifications, transparency obligations",https://www.wto.org/english/tratop_e/tbt_e/tbt_e.htm,
MG-009,International,Meta-Governance,Trade/SPS,Framework,WTO Agreement on Sanitary and Phytosanitary Measures,SPS Agreement,WTO,"Geneva, Switzerland",Global,1995,Active,"Sets rules on food safety, animal/plant health measures in international trade","SPS notifications; references Codex, OIE, IPPC",https://www.wto.org/english/tratop_e/sps_e/sps_e.htm,
MG-010,International,Meta-Governance,Cross-Sector,Standards Body,World Trade Organization,WTO,WTO,"Geneva, Switzerland",Global,1995,Active,Administers global trade agreements; reference body for TBT/SPS standards in trade,"WTO Agreements, Dispute Settlement Understanding",https://www.wto.org,
HL-001,International,Health,Public Health,Standards Body,World Health Organization,WHO,UN System,"Geneva, Switzerland",Global,1948,Active,UN specialized agency for global health; sets international health norms & standards,"IHR 2005, WHO Guidelines, EML, ICD-11, ICNP",https://www.who.int,Treaty-based UN specialized agency
HL-002,International,Health,Pharmaceuticals,Standards Body,International Council for Harmonisation of Technical Requirements for Pharmaceuticals for Human Use,ICH,ICH,"Geneva, Switzerland",Global,1990,Active,"Harmonizes pharmaceutical regulations across EU, US, Japan and beyond","ICH Q, S, E, M guidelines (GMP, safety, efficacy, multidisciplinary)",https://www.ich.org,
HL-003,International,Health,Medical Devices,Standards Body,International Medical Device Regulators Forum,IMDRF,IMDRF,Global,Global,2011,Active,Accelerates convergence of medical device regulations globally,"IMDRF Guidance Documents, GHTF legacy guidelines",https://www.imdrf.org,Successor to GHTF
HL-004,International,Health,Health Informatics,Standards Body,Health Level Seven International,HL7,HL7,"Ann Arbor, USA",Global,1987,Active,Develops interoperability standards for health information technology,"HL7 FHIR R4/R5, HL7 v2, CDA, C-CDA",https://www.hl7.org,
HL-005,International,Health,Clinical Terminologies,Standards Body,SNOMED International,SNOMED,SNOMED International,"London, UK",Global,2007,Active,Maintains SNOMED CT — world's most comprehensive clinical terminology,SNOMED CT (Clinical Terms),https://www.snomed.org,
HL-006,International,Health,Imaging,Standards Body,DICOM Standards Committee,DICOM,NEMA / ACR,"Rosslyn, USA",Global,1985,Active,Standard for medical imaging data interchange and management,DICOM (Digital Imaging and Communications in Medicine),https://www.dicomstandard.org,
HL-007,International,Health,Clinical Labs,Standard,ISO 15189 — Medical Laboratories,ISO 15189,ISO TC 212,"Geneva, Switzerland",Global,2003,Active,Requirements for quality and competence in medical laboratories,ISO 15189:2022,https://www.iso.org/standard/76677.html,
HL-008,International,Health,Medical Devices,Standard,ISO 13485 — Medical Devices QMS,ISO 13485,ISO TC 210,"Geneva, Switzerland",Global,1996,Active,"QMS requirements for medical devices organizations, regulatory compliance",ISO 13485:2016,https://www.iso.org/standard/59752.html,
HL-009,International,Health,Disease Classification,Classification,International Classification of Diseases 11th Revision,ICD-11,WHO,"Geneva, Switzerland",Global,2018,Active,"Global standard for health data, clinical coding, mortality/morbidity statistics",ICD-11 (effective 2022),https://icd.who.int,Replaced ICD-10
HL-010,International,Health,Functioning & Disability,Classification,"International Classification of Functioning, Disability and Health",ICF,WHO,"Geneva, Switzerland",Global,2001,Active,Framework for measuring health and disability at individual and population level,ICF,https://www.who.int/standards/classifications/international-classification-of-functioning-disability-and-health,
HL-011,International,Health,Lab Observations,Terminology,Logical Observation Identifiers Names and Codes,LOINC,Regenstrief Institute,"Indianapolis, USA",Global,1994,Active,"Universal standard for lab test orders and results, clinical measurements","LOINC database (100,000+ terms)",https://loinc.org,
HL-012,International,Health,Health Informatics,Standards Body,Integrating the Healthcare Enterprise,IHE,IHE International,Global,Global,1998,Active,Improves sharing of health information using existing standards,"IHE Profiles (XDS, PIX, PDQ, XCA, etc.)",https://www.ihe.net,
HL-013,International,Health,Medicines,Framework,WHO Model List of Essential Medicines,EML,WHO,"Geneva, Switzerland",Global,1977,Active,Reference list of minimum medicines needed in a basic health system,23rd EML (2023),https://www.who.int/groups/expert-committee-on-selection-and-use-of-essential-medicines/essential-medicines-lists,
HL-014,International,Health,Global Health Security,Regulation,International Health Regulations 2005,IHR 2005,WHO,"Geneva, Switzerland",Global,2005,Active,Legally binding framework to prevent and respond to international public health emergencies,IHR 2005 (binding on 196 countries),https://www.who.int/health-topics/international-health-regulations,
HL-015,International,Health,AMR,Framework,WHO Global Action Plan on Antimicrobial Resistance,GAP-AMR,WHO,"Geneva, Switzerland",Global,2015,Active,5-objective framework guiding national action plans on AMR,WHO GAP AMR 2015,https://www.who.int/publications/i/item/9789241509763,
HL-016,International,Health,Supply Chain,Standards Body,GS1 Healthcare,GS1,GS1,"Brussels, Belgium",Global,1969,Active,Global barcode/RFID standards for healthcare product identification and traceability,"GS1 GTIN, GLN, GS1-128, DataMatrix",https://www.gs1.org/industries/healthcare,
HL-017,International,Health,Regional Health,Standards Body,Pan American Health Organization,PAHO,OAS / WHO,"Washington DC, USA",Americas,1902,Active,WHO's regional office for the Americas; leads health standards adaptation in region,"PAHO Technical Standards, Immunization guidelines",https://www.paho.org,
HL-018,International,Health,Nursing,Standards Body,International Council of Nurses,ICN,ICN,"Geneva, Switzerland",Global,1899,Active,"Sets global nursing standards, ethics codes and professional frameworks","ICN Code of Ethics, ICNP",https://www.icn.ch,
HL-019,International,Health,Epidemiology,Framework,Integrated Disease Surveillance and Response,IDSR,WHO AFRO / CDC,Regional,Africa / Global,2000,Active,Framework for disease surveillance and response in African health systems,"IDSR Technical Guidelines (3rd Ed, 2019)",https://africacdc.org/download/idsr-technical-guidelines-2019/,
HL-020,International,Health,Digital Health,Framework,WHO Digital Health Framework,DHF,WHO,"Geneva, Switzerland",Global,2020,Active,Guides digital health investments and interoperability planning in member states,WHO Digital Health Strategy 2020-2025,https://www.who.int/docs/default-source/documents/gs4dhdaa2a9f352b0445bafbc79ca799dce4d.pdf,
FI-001,International,Finance,Financial Stability,Standards Body,Financial Stability Board,FSB,G20 / BIS,"Basel, Switzerland",Global,2009,Active,Monitors and makes recommendations about the global financial system,"FSB Key Standards compendium, TLAC standards",https://www.fsb.org,Successor to Financial Stability Forum (FSF)
FI-002,International,Finance,Banking Supervision,Standards Body,Basel Committee on Banking Supervision,BCBS,BIS,"Basel, Switzerland",Global,1974,Active,Sets global standards for bank supervision and capital adequacy,"Basel I, II, III, IV; BCBS Principles",https://www.bis.org/bcbs,Hosted by BIS
FI-003,International,Finance,Securities,Standards Body,International Organization of Securities Commissions,IOSCO,IOSCO,"Madrid, Spain",Global,1983,Active,Develops international standards for securities regulation,IOSCO Principles of Securities Regulation (38 principles),https://www.iosco.org,
FI-004,International,Finance,Insurance,Standards Body,International Association of Insurance Supervisors,IAIS,IAIS,"Basel, Switzerland",Global,1994,Active,Develops globally consistent standards for insurance supervision,"Insurance Core Principles (ICPs), ICS (Insurance Capital Standard)",https://www.iaisweb.org,
FI-005,International,Finance,AML/CFT,Standards Body,Financial Action Task Force,FATF,OECD,"Paris, France",Global,1989,Active,"Sets global standards for combating money laundering, terrorist and proliferation financing",FATF 40 Recommendations; FATF Blacklist/Greylist,https://www.fatf-gafi.org,
FI-006,International,Finance,Payments,Standards Body,Committee on Payments and Market Infrastructures,CPMI,BIS,"Basel, Switzerland",Global,1990,Active,"Promotes safety and efficiency in payment, clearing and settlement systems",CPMI Principles for Financial Market Infrastructures (PFMI),https://www.bis.org/cpmi,
FI-007,International,Finance,Deposit Insurance,Standards Body,International Association of Deposit Insurers,IADI,BIS,"Basel, Switzerland",Global,2002,Active,Enhances the effectiveness of deposit insurance systems worldwide,IADI Core Principles for Effective Deposit Insurance Systems,https://www.iadi.org,
FI-008,International,Finance,Accounting,Standards Body,International Accounting Standards Board,IASB,IFRS Foundation,"London, UK",Global,2001,Active,Develops IFRS — globally accepted financial reporting standards,"IFRS 1-17, IAS series (28 active), IFRS for SMEs",https://www.ifrs.org,
FI-009,International,Finance,Sustainability Reporting,Standards Body,International Sustainability Standards Board,ISSB,IFRS Foundation,"Frankfurt, Germany",Global,2021,Active,Develops global baseline sustainability disclosure standards for capital markets,"IFRS S1 (General Disclosures), IFRS S2 (Climate)",https://www.ifrs.org/groups/international-sustainability-standards-board,
FI-010,International,Finance,Auditing,Standards Body,International Federation of Accountants,IFAC,IFAC,"New York, USA",Global,1977,Active,"Sets international auditing, assurance, ethics and education standards","ISAs, ISAEs, ISREs, ISQM, IESBA Code of Ethics",https://www.ifac.org,
FI-011,International,Finance,Central Banking,Standards Body,Bank for International Settlements,BIS,BIS,"Basel, Switzerland",Global,1930,Active,"Bank for central banks; hosts FSB, BCBS, CPMI, IAIS; publishes financial stability research","BIS Annual Economic Report, Quarterly Review",https://www.bis.org,Oldest international financial institution
FI-012,International,Finance,Monetary,Standards Body,International Monetary Fund,IMF,UN System,"Washington DC, USA",Global,1944,Active,"Promotes global monetary cooperation, financial stability, and provides technical assistance","IMF Article IV, FSAP, SDR, Data Standards (SDDS, e-GDDS)",https://www.imf.org,Treaty-based Bretton Woods institution
FI-013,International,Finance,Development,Standards Body,World Bank Group,WBG,WBG,"Washington DC, USA",Global,1944,Active,"Provides financing and standards for development; includes IFC, MIGA, ICSID, IDA","World Bank Procurement Standards, Environmental & Social Framework",https://www.worldbank.org,Treaty-based Bretton Woods institution
FI-014,International,Finance,Economic Policy,Standards Body,Organisation for Economic Co-operation and Development,OECD,OECD,"Paris, France",Global,1961,Active,"Sets economic, governance, tax and financial standards for 38 member countries and beyond","OECD Guidelines for MNEs, BEPS Framework, CRS, Pillar I/II",https://www.oecd.org,
FI-015,International,Finance,Anti-Corruption,Standard,OECD Guidelines for Multinational Enterprises,OECD MNE Guidelines,OECD,"Paris, France",Global,1976,Active,Recommendations to MNEs on responsible business conduct,OECD MNE Guidelines 2023 Update,https://mneguidelines.oecd.org,
FI-016,International,Finance,Tax,Framework,OECD BEPS Framework,BEPS,OECD / IF,"Paris, France",Global,2015,Active,15-action plan addressing Base Erosion and Profit Shifting in international tax,BEPS 2.0: Pillar One & Two; 145+ countries inclusive framework,https://www.oecd.org/tax/beps,
FI-017,International,Finance,Capital Adequacy,Standard,Basel III / CRR IV Capital Framework,Basel III,BCBS,"Basel, Switzerland",Global,2010,Active,"International regulatory framework for bank capital adequacy, stress testing, liquidity",Basel III / CRR; LCR; NSFR; leverage ratio,https://www.bis.org/bcbs/basel3.htm,Phased in through 2028
DG-001,International,Digital,Electrical & Electronics,Standards Body,Institute of Electrical and Electronics Engineers,IEEE,IEEE,"Piscataway, USA",Global,1963,Active,World's largest technical professional organization; 1300+ active standards,"IEEE 802.11 (Wi-Fi), 802.3 (Ethernet), 2030 (Smart Grid)",https://www.ieee.org,
DG-002,International,Digital,Internet Protocols,Standards Body,Internet Engineering Task Force,IETF,ISOC,Global (distributed),Global,1986,Active,Develops and promotes internet standards especially TCP/IP protocols,"RFCs: HTTP, TLS, DNS, SMTP, QUIC, IPv6",https://www.ietf.org,
DG-003,International,Digital,Web Standards,Standards Body,World Wide Web Consortium,W3C,W3C,Global (MIT/ERCIM/Keio),Global,1994,Active,Develops web standards for long-term growth of the web,"HTML5, CSS3, XML, WCAG, WebAuthn, JSON-LD",https://www.w3.org,
DG-004,International,Digital,Structured Information,Standards Body,Organization for the Advancement of Structured Information Standards,OASIS,OASIS,"Burlington, USA",Global,1993,Active,"Develops open standards for cybersecurity, IoT, cloud, content technologies","SAML, WS-Security, MQTT, STIX/TAXII, UBL, ODF",https://www.oasis-open.org,
DG-005,International,Digital,Mobile Telecom,Standards Body,3rd Generation Partnership Project,3GPP,ETSI/ATIS/ARIB/TSDSI,Global,Global,1998,Active,Develops protocols for mobile telecommunications,"3G/UMTS, 4G/LTE, 5G NR, 5G-Advanced",https://www.3gpp.org,
DG-006,International,Digital,Mobile Ecosystem,Standards Body,GSMA — Global System for Mobile Communications Association,GSMA,GSMA,"London, UK",Global,1987,Active,Trade body representing mobile network operators; develops industry standards,"Mobile Identity, eSIM, Mobile Connect, GSMA Guidelines",https://www.gsma.com,
DG-007,International,Digital,Cybersecurity,Framework,NIST Cybersecurity Framework,NIST CSF,NIST,"Gaithersburg, USA",Global,2014,Active,Voluntary guidance for managing cybersecurity risks in critical infrastructure,"CSF 2.0 (2024): Govern, Identify, Protect, Detect, Respond, Recover",https://www.nist.gov/cyberframework,
DG-008,International,Digital,Information Security,Standard,ISO/IEC 27001 — Information Security Management,ISO/IEC 27001,ISO/IEC JTC 1,"Geneva, Switzerland",Global,2005,Active,ISMS requirements standard — globally adopted information security certification,ISO/IEC 27001:2022,https://www.iso.org/standard/27001,
DG-009,International,Digital,Payments,Standard,Payment Card Industry Data Security Standard,PCI DSS,PCI SSC,"Wakefield, USA",Global,2004,Active,Security standard for all organizations handling payment card data,PCI DSS v4.0 (2022),https://www.pcisecuritystandards.org,
DG-010,International,Digital,Privacy,Regulation,General Data Protection Regulation,GDPR,EU,"Brussels, Belgium",EU/Global influence,2018,Active,Comprehensive EU data protection law with global extraterritorial effect,GDPR (Regulation 2016/679),https://gdpr.eu,
DG-011,International,Digital,AI Standards,Framework,ISO/IEC 42001 — AI Management System,ISO/IEC 42001,ISO/IEC JTC 1 SC 42,"Geneva, Switzerland",Global,2023,Active,First international standard for AI management systems,ISO/IEC 42001:2023,https://www.iso.org/standard/81230.html,
DG-012,International,Digital,AI Risk,Framework,NIST AI Risk Management Framework,AI RMF,NIST,"Gaithersburg, USA",Global influence,2023,Active,Voluntary guidance for managing AI risks across organizations,NIST AI RMF 1.0 (2023),https://airc.nist.gov,
DG-013,International,Digital,Cloud Computing,Standard,ISO/IEC 17788 — Cloud Computing Overview,ISO/IEC 17788,ISO/IEC JTC 1,"Geneva, Switzerland",Global,2014,Active,Vocabulary and concepts for cloud computing standardization,ISO/IEC 17788:2014; ISO/IEC 27017 (cloud security),https://www.iso.org/standard/60544.html,
DG-014,International,Digital,IoT,Framework,ISO/IEC 30141 — IoT Reference Architecture,IoT RA,ISO/IEC JTC 1,"Geneva, Switzerland",Global,2018,Active,Conceptual and technical IoT reference architecture,ISO/IEC 30141:2018,https://www.iso.org/standard/65695.html,
DG-015,International,Digital,Open Source,Standards Body,Linux Foundation,LF,Linux Foundation,"San Francisco, USA",Global,2000,Active,Hosts open-source projects and collaborative standards for technology,"CNCF, OpenSSF, SPDX, OpenChain, FINOS",https://www.linuxfoundation.org,
DG-016,International,Digital,Internet Governance,Standards Body,Internet Corporation for Assigned Names and Numbers,ICANN,ICANN,"Los Angeles, USA",Global,1998,Active,Coordinates the maintenance of databases related to namespaces of the internet,"DNS Root Zone, gTLDs, ccTLDs",https://www.icann.org,
DG-017,International,Digital,Biometrics,Standard,ISO/IEC 19794 — Biometric Data Interchange,ISO/IEC 19794,ISO/IEC JTC 1 SC 37,"Geneva, Switzerland",Global,2005,Active,Standards for biometric data formats and interchange,"ISO/IEC 19794 series (fingerprint, face, iris, vein)",https://www.iso.org/committee/313770.html,
DG-018,International,Digital,Open Data,Framework,DCAT — Data Catalog Vocabulary,DCAT,W3C,Global,Global,2014,Active,W3C recommendation for describing datasets in data catalogs,DCAT 3 (2023),https://www.w3.org/TR/vocab-dcat/,
DG-019,International,Digital,Accessibility,Standard,Web Content Accessibility Guidelines,WCAG,W3C WAI,Global,Global,1999,Active,Technical standard for web content accessibility for people with disabilities,WCAG 2.2 (2023); WCAG 3.0 (draft),https://www.w3.org/WAI/standards-guidelines/wcag,
DG-020,International,Digital,E-Signatures,Standard,Electronic Identification Authentication and Trust Services,eIDAS,EU,"Brussels, Belgium",EU/Global,2014,Active,Legal framework for electronic identification and trust services in EU,eIDAS Regulation (EU 910/2014); eIDAS 2.0 (2024),https://digital-strategy.ec.europa.eu/en/policies/eidas-regulation,
EC-001,International,Environment,Climate Science,Standards Body,Intergovernmental Panel on Climate Change,IPCC,UN / WMO / UNEP,"Geneva, Switzerland",Global,1988,Active,Provides scientific basis for climate policy and international agreements,"IPCC Assessment Reports (AR6 2021-2022), SREX, SR1.5",https://www.ipcc.ch,
EC-002,International,Environment,Climate Governance,Treaty,United Nations Framework Convention on Climate Change,UNFCCC,UN,"Bonn, Germany",Global,1992,Active,Intergovernmental treaty for addressing climate change,"UNFCCC, Kyoto Protocol, Paris Agreement",https://unfccc.int,
